postcode,afname_code,opwek_code,voedingsgebied_id,voedingsgebied_naam,tennet_id,grid_operator,available_afname_mw,needed_afname_mw,remaining_afname_mw,utilization_afname_percent,queue_afname_mw,projects,note
5617AL,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BD,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BP,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AB,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AM,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BE,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BR,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AK,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BC,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BN,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AJ,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BB,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BM,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AC,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AN,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BH,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BS,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AE,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617BK,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
5617AD,0,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,EHVN_2027 (2027),Part of postcode-4 5617 proxy for Strijp S
