car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 245,,,,37,,arrived,,arrived,3.0,,,
Car 245,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),3.0,,0.0,
Car 16,,,,31,,arrived,,arrived,6.0,,,
Car 16,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),6.0,,0.0,
Car 169,,,,73,,arrived,,arrived,12.0,,,
Car 169,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),12.0,,0.0,
Car 129,,,,51,,arrived,,arrived,18.0,,,
Car 129,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),18.0,,0.0,
Car 47,,,,25,,arrived,,arrived,24.0,,,
Car 47,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),24.0,,0.0,
Car 220,,,,35,,arrived,,arrived,32.0,,,
Car 220,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),32.0,,0.0,
Car 154,,,,68,,arrived,,arrived,35.0,,,
Car 74,,,,28,,arrived,,arrived,39.0,,,
Car 214,,,,71,,arrived,,arrived,39.0,,,
Car 154,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",40.0,1,,
Car 238,,,,89,,arrived,,arrived,41.0,,,
Car 238,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),41.0,,0.0,
Car 154,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),42.22134419256946,,5.0,
Car 74,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",44.0,3,,
Car 214,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",44.0,1,,
Car 214,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),46.22134419256946,,5.0,
Car 74,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),46.85884986837221,,5.0,
Car 153,,,,24,,arrived,,arrived,54.0,,,
Car 245,51.0,73,5,,,done,,done charging,54.0,,,52.18342097829892
Car 9,,,,17,,arrived,,arrived,55.0,,,
Car 49,,,,6,,arrived,,arrived,57.0,,,
Car 153,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",59.0,3,,
Car 1,,,,36,,arrived,,arrived,60.0,,,
Car 9,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 6 (fid=60)",60.0,6,,
Car 49,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",62.0,2,,
Car 49,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),62.033163186541316,,5.0,
Car 9,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),63.25969204728619,,5.0,
Car 1,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",65.0,3,,
Car 153,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 1 (fid=308702)",66.8588498683722,1,,
Car 1,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",72.8588498683722,2,,
Car 153,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 2 (fid=307904)",76.44029100548455,2,,
Car 1,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 6 (fid=60)",77.89201305491352,6,,
Car 1,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",85.13698393566484,1,,
Car 153,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 8 (fid=31)",86.05479346200765,8,,
Car 238,46.0,308108,4,,,done,,done charging,87.0,,,143.26406436368646
Car 153,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),91.11693800600507,,19.999999999999993,
Car 1,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=73)",93.96332242431929,5,,
Car 1,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),96.29957586736403,,25.0,
Car 203,,,,37,,arrived,,arrived,98.0,,,
Car 129,81.0,60,6,,,done,,done charging,99.0,,,128.4087684895338
Car 39,,,,26,,arrived,,arrived,101.0,,,
Car 39,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),101.0,,0.0,
Car 203,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",103.0,1,,
Car 210,,,,19,,arrived,,arrived,104.0,,,
Car 154,64.0,308702,1,,,done,,done charging,106.22134419256946,,,166.95224103016787
Car 203,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),106.22134419256946,,5.885090749524721,
Car 169,96.0,73,5,,,done,,done charging,108.0,,,0.0
Car 130,,,,46,,arrived,,arrived,109.0,,,
Car 210,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",109.0,1,,
Car 16,104.0,308440,0,,,done,,done charging,110.0,,,65.10485574823473
Car 130,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",114.0,7,,
Car 86,,,,4,,arrived,,arrived,116.0,,,
Car 86,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),116.0,,0.0,
Car 210,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",116.22134419256946,8,,
Car 210,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),116.78550538131701,,10.0,
Car 74,71.0,307905,3,,,done,,done charging,117.8588498683722,,,181.12807875368182
Car 105,,,,60,,arrived,,arrived,119.0,,,
Car 236,,,,14,,arrived,,arrived,119.0,,,
Car 105,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),119.0,,0.0,
Car 236,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),119.0,,0.0,
Car 130,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 8 (fid=31)",119.6141212723548,8,,
Car 64,,,,64,,arrived,,arrived,120.0,,,
Car 64,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),120.0,,0.0,
Car 231,,,,8,,arrived,,arrived,121.0,,,
Car 214,76.0,308702,1,,,done,,done charging,122.22134419256946,,,163.40775801963517
Car 130,,,,,8,switch,,"Charger 8 (fid=31) not available, trying Charger 5 (fid=73)",124.76019981416702,5,,
Car 191,,,,50,,arrived,,arrived,125.0,,,
Car 231,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",126.0,6,,
Car 49,67.0,307904,2,,,done,,done charging,129.03316318654132,,,116.29806358230654
Car 90,,,,64,,arrived,,arrived,130.0,,,
Car 191,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",130.0,3,,
Car 90,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),130.0,,0.0,
Car 191,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),132.22432587373495,,5.0,
Car 130,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 0 (fid=308440)",132.6252511992186,0,,
Car 231,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",133.27008140497065,1,,
Car 47,112.0,30,7,,,done,,done charging,136.0,,,115.48475214070454
Car 204,,,,77,,arrived,,arrived,137.0,,,
Car 231,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),137.0964198936251,,10.0,
Car 220,106.0,308440,0,,,done,,done charging,138.0,,,66.98997881029146
Car 130,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),138.0,,22.108670581740327,
Car 123,,,,34,,arrived,,arrived,142.0,,,
Car 204,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",142.0,3,,
Car 123,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",147.0,3,,
Car 204,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",149.22432587373495,2,,
Car 204,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),149.25748906027627,,10.0,
Car 99,,,,55,,arrived,,arrived,151.0,,,
Car 107,,,,77,,arrived,,arrived,151.0,,,
Car 153,60.0,31,8,,,done,,done charging,151.11693800600506,,,232.12579434435233
Car 1,57.0,73,5,,,done,,done charging,153.299575867364,,,240.76881696971395
Car 123,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 1 (fid=308702)",154.8588498683722,1,,
Car 13,,,,2,,arrived,,arrived,155.0,,,
Car 99,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",156.0,1,,
Car 107,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",156.0,3,,
Car 203,50.0,308702,1,,,done,,done charging,156.22134419256946,,,143.13448230947176
Car 99,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),158.22134419256946,,5.0,
Car 13,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",160.0,2,,
Car 107,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",163.22432587373495,2,,
Car 123,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 2 (fid=307904)",164.44029100548454,2,,
Car 13,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",166.67826482304116,3,,
Car 107,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",168.25748906027627,4,,
Car 168,,,,17,,arrived,,arrived,169.0,,,
Car 13,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 6 (fid=60)",171.71142800958248,6,,
Car 86,58.0,73,5,,,done,,done charging,174.0,,,113.03943791881676
Car 168,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 6 (fid=60)",174.0,6,,
Car 123,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 6 (fid=60)",174.05479346200764,6,,
Car 107,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 5 (fid=73)",174.93575388331743,5,,
Car 9,114.0,60,6,,,done,,done charging,177.2596920472862,,,160.46889726361894
Car 13,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),177.2596920472862,,18.323938163968762,
Car 107,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),180.1573119196901,,20.0,
Car 106,,,,8,,arrived,,arrived,181.0,,,
Car 106,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),181.0,,0.0,
Car 123,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",181.29976434275898,5,,
Car 168,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",182.2596920472862,3,,
Car 8,,,,15,,arrived,,arrived,188.0,,,
Car 123,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 8 (fid=31)",188.56984574772963,8,,
Car 168,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",189.48401792102115,2,,
Car 64,70.0,308108,4,,,done,,done charging,190.0,,,103.76990676010192
Car 29,,,,30,,arrived,,arrived,191.0,,,
Car 123,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),191.43489713278123,,30.0,
Car 76,,,,71,,arrived,,arrived,192.0,,,
Car 8,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",193.0,3,,
Car 168,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 5 (fid=73)",194.51718110756246,5,,
Car 29,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",196.0,1,,
Car 132,,,,10,,arrived,,arrived,197.0,,,
Car 76,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",197.0,1,,
Car 90,68.0,308108,4,,,done,,done charging,198.0,,,103.76990676010192
Car 8,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",200.8588498683722,2,,
Car 178,,,,77,,arrived,,arrived,201.0,,,
Car 132,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",202.0,6,,
Car 29,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",203.22134419256946,8,,
Car 168,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",203.60546930703373,1,,
Car 76,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",204.22134419256946,8,,
Car 241,,,,39,,arrived,,arrived,205.0,,,
Car 231,68.0,308702,1,,,done,,done charging,205.0964198936251,,,224.28037668286402
Car 8,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 6 (fid=60)",205.89201305491352,6,,
Car 168,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),205.94172275007847,,25.0,
Car 178,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",206.0,3,,
Car 233,,,,77,,arrived,,arrived,207.0,,,
Car 236,89.0,308440,0,,,done,,done charging,208.0,,,95.26950640156508
Car 29,,,,,8,switch,,"Charger 8 (fid=31) not available, trying Charger 6 (fid=60)",208.78550538131702,6,,
Car 132,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",209.27008140497065,1,,
Car 76,,,,,8,switch,,"Charger 8 (fid=31) not available, trying Charger 7 (fid=30)",209.78550538131702,7,,
Car 76,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),209.93158392312924,,15.0,
Car 241,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 4 (fid=308108)",210.0,4,,
Car 210,95.0,31,8,,,done,,done charging,211.78550538131702,,,197.5679672467404
Car 233,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",212.0,3,,
Car 241,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),213.0068070186066,,5.0,
Car 8,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",213.13698393566486,1,,
Car 178,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",213.22432587373495,2,,
Car 39,116.0,30,7,,,done,,done charging,217.0,,,63.41098444277533
Car 132,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",218.0964198936251,7,,
Car 29,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",218.16760362212884,5,,
Car 178,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",218.25748906027627,4,,
Car 132,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),218.7105411659799,,15.0,
Car 233,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",219.22432587373495,2,,
Car 178,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),219.93575388331743,,15.0,
Car 145,,,,8,,arrived,,arrived,220.0,,,
Car 130,82.0,308440,0,,,done,,done charging,220.0,,,233.99683306620688
