year,average_input_ev_cars,average_existing_chargers_before,average_new_chargers_added,average_minimum_chargers,selected_locations,average_waiting_time,average_served_rate,average_unmet_rate,average_served_demand,average_unmet_demand,average_walking_distance,average_utilization,average_max_utilization,average_walking_coverage_rate_info,average_optimization_unmet_rate_info,simulation_kpis_feasible,optimization_feasible
2026,159.0,5.0,3.1,8.1,308440;308702;307904;307905;308108;73;60;31,7.8,91.19,6.42,145.0,10.2,260.56,0.58,0.71,100.0,0.0,True,True
2027,217.0,8.1,1.9,10.0,308440;308702;307904;307905;308108;73;60;31;32;86,12.44,90.32,7.97,196.0,17.3,291.48,0.62,0.77,100.0,0.0,True,True
2028,280.0,10.0,1.9,11.9,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,14.69,89.72,8.21,251.2,23.0,286.86,0.65,0.81,100.0,0.0,True,True
2029,359.0,11.9,2.5,14.4,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5,20.04,89.72,8.0,322.1,28.7,299.5,0.69,0.84,100.0,0.0,True,True
2030,449.0,14.4,3.0,17.4,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8,24.21,89.15,7.6,400.3,34.1,294.48,0.69,0.85,100.0,0.0,True,True
2031,547.0,17.4,2.7,20.1,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37,28.43,87.59,8.89,479.1,48.6,286.51,0.71,0.84,100.0,0.0,True,True
2032,647.0,20.1,3.0,23.1,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45,32.38,86.89,8.31,562.2,53.8,278.6,0.72,0.85,100.0,0.0,True,True
2033,746.0,23.1,2.9,26.0,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26,36.54,86.22,8.38,643.2,62.5,274.41,0.73,0.86,100.0,0.56,True,True
2034,840.0,26.0,2.7,28.7,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;17,40.45,84.81,8.27,712.4,69.5,278.29,0.73,0.87,100.0,2.15,True,True
2035,925.0,28.7,2.1,30.8,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;17;28;12,43.83,83.23,8.91,769.9,82.4,282.0,0.73,0.87,100.0,4.4,True,True
