car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 66,,,,73,,arrived,,arrived,11.0,,,
Car 66,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),11.0,,0.0,
Car 210,,,,91,,arrived,,arrived,21.0,,,
Car 210,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),21.0,,0.0,
Car 68,,,,4,,arrived,,arrived,22.0,,,
Car 68,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),22.0,,0.0,
Car 151,,,,60,,arrived,,arrived,26.0,,,
Car 151,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),26.0,,0.0,
Car 179,,,,55,,arrived,,arrived,32.0,,,
Car 179,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),32.0,,0.0,
Car 102,,,,74,,arrived,,arrived,33.0,,,
Car 102,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),33.0,,0.0,
Car 77,,,,31,,arrived,,arrived,56.0,,,
Car 139,,,,37,,arrived,,arrived,56.0,,,
Car 77,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),56.0,,0.0,
Car 139,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),56.0,,0.0,
Car 66,48.0,73,5,,,done,,done charging,59.0,,,0.0
Car 132,,,,54,,arrived,,arrived,60.0,,,
Car 132,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),60.0,,0.0,
Car 61,,,,8,,arrived,,arrived,70.0,,,
Car 61,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),70.0,,0.0,
Car 163,,,,65,,arrived,,arrived,84.0,,,
Car 163,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",89.0,1,,
Car 163,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),91.33625344304474,,5.0,
Car 197,,,,5,,arrived,,arrived,103.0,,,
Car 102,70.0,307904,2,,,done,,done charging,103.0,,,84.63961631527718
Car 68,84.0,60,6,,,done,,done charging,106.0,,,59.80497675779154
Car 165,,,,54,,arrived,,arrived,107.0,,,
Car 197,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",108.0,1,,
Car 179,79.0,308440,0,,,done,,done charging,111.0,,,88.10894552200877
Car 165,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",112.0,0,,
Car 79,,,,40,,arrived,,arrived,113.0,,,
Car 79,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),113.0,,0.0,
Car 165,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),114.22134419256946,,5.0,
Car 197,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",115.33625344304474,7,,
Car 197,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),115.95037471539953,,10.0,
Car 12,,,,57,,arrived,,arrived,117.0,,,
Car 139,61.0,73,5,,,done,,done charging,117.0,,,52.18342097829892
Car 151,93.0,60,6,,,done,,done charging,119.0,,,0.0
Car 108,,,,37,,arrived,,arrived,122.0,,,
Car 12,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",122.0,1,,
Car 108,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),122.0,,0.0,
Car 19,,,,70,,arrived,,arrived,124.0,,,
Car 47,,,,4,,arrived,,arrived,124.0,,,
Car 216,,,,29,,arrived,,arrived,124.0,,,
Car 227,,,,4,,arrived,,arrived,124.0,,,
Car 47,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),124.0,,0.0,
Car 216,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),124.0,,0.0,
Car 77,70.0,308440,0,,,done,,done charging,126.0,,,65.10485574823473
Car 19,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),126.0,,2.0,
Car 227,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",129.0,1,,
Car 12,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",129.22134419256946,8,,
Car 12,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),129.78550538131702,,10.0,
Car 210,109.0,308108,4,,,done,,done charging,130.0,,,136.51286569406312
Car 5,,,,54,,arrived,,arrived,135.0,,,
Car 227,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",136.33625344304474,7,,
Car 5,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",140.0,0,,
Car 227,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 8 (fid=31)",141.95037471539953,8,,
Car 227,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),142.09645325721175,,15.0,
Car 5,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=73)",147.22134419256946,5,,
Car 74,,,,12,,arrived,,arrived,152.0,,,
Car 74,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),152.0,,0.0,
Car 2,,,,80,,arrived,,arrived,153.0,,,
Car 132,93.0,308702,1,,,done,,done charging,153.0,,,118.85907491646913
Car 5,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 8 (fid=31)",155.4874224116105,8,,
Car 2,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",158.0,3,,
Car 2,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),160.8588498683722,,5.0,
Car 220,,,,37,,arrived,,arrived,161.0,,,
Car 36,,,,83,,arrived,,arrived,163.0,,,
Car 36,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),163.0,,0.0,
Car 5,,,,,8,switch,,"Charger 8 (fid=31) not available, trying Charger 7 (fid=30)",163.3524737966621,7,,
Car 220,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",166.0,1,,
Car 169,,,,25,,arrived,,arrived,168.0,,,
Car 220,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),168.33625344304474,,5.0,
Car 5,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 6 (fid=60)",168.49855233847433,6,,
Car 169,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",173.0,3,,
Car 108,54.0,73,5,,,done,,done charging,176.0,,,52.18342097829892
Car 148,,,,77,,arrived,,arrived,177.0,,,
Car 5,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",177.93838464164443,3,,
Car 61,109.0,73,5,,,done,,done charging,179.0,,,46.809697563664486
Car 12,51.0,31,8,,,done,,done charging,180.78550538131702,,,153.86776271202248
Car 169,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",180.8588498683722,2,,
Car 148,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",182.0,3,,
Car 163,92.0,308702,1,,,done,,done charging,183.33625344304474,,,232.57751411520684
Car 5,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",185.1627105153794,2,,
