year,seed,input_ev_cars,existing_chargers_before,new_chargers_added,minimum_chargers,selected_locations,served_demand,served_rate,unmet_demand,unmet_rate,average_waiting_time,average_walking_distance,average_utilization,max_utilization,walking_coverage_rate_info,optimization_unmet_rate_info,simulation_kpis_feasible,optimization_feasible
2026,7,159,5,3,8,308440;308702;307904;307905;308108;5;1;2,146,91.82,9,5.66,9.15,318.43,0.58,0.73,0.0,0.0,True,True
2027,7,217,8,2,10,308440;308702;307904;307905;308108;5;1;2;91;3,199,91.71,15,6.91,14.35,339.13,0.62,0.8,0.0,0.0,True,True
2028,7,280,10,2,12,308440;308702;307904;307905;308108;5;1;2;91;3;4;6,255,91.07,18,6.43,16.41,324.9,0.64,0.79,0.0,0.0,True,True
2029,7,359,12,2,14,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8,314,87.47,31,8.64,18.78,305.14,0.67,0.82,0.0,0.0,True,True
2030,7,449,14,3,17,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11,401,89.31,38,8.46,22.46,289.53,0.7,0.82,0.0,0.0,True,True
2031,7,547,17,3,20,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14,483,88.3,45,8.23,28.07,293.91,0.71,0.84,0.0,0.0,True,True
2032,7,647,20,2,22,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16,543,83.93,64,9.89,33.42,306.02,0.72,0.86,0.0,3.69,True,True
2033,7,746,22,4,26,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,652,87.4,56,7.51,34.64,272.16,0.72,0.87,0.0,0.56,True,True
2034,7,840,26,2,28,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,711,84.64,79,9.4,39.15,283.17,0.74,0.85,0.0,4.62,True,True
2035,7,925,28,2,30,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,772,83.46,84,9.08,42.12,282.15,0.74,0.93,0.0,6.97,True,True
2026,6,159,5,3,8,308440;308702;307904;307905;308108;5;1;2,145,91.19,11,6.92,7.8,295.76,0.6,0.73,0.0,0.0,True,True
2027,6,217,8,2,10,308440;308702;307904;307905;308108;5;1;2;91;3,200,92.17,15,6.91,12.06,321.29,0.63,0.74,0.0,0.0,True,True
2028,6,280,10,1,11,308440;308702;307904;307905;308108;5;1;2;91;3;4,246,87.86,28,10.0,16.81,341.57,0.69,0.81,0.0,0.0,True,True
2029,6,359,11,3,14,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8,321,89.42,28,7.8,19.92,323.46,0.69,0.81,0.0,0.0,True,True
2030,6,449,14,3,17,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11,400,89.09,38,8.46,21.64,290.07,0.7,0.8,0.0,0.0,True,True
2031,6,547,17,3,20,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14,486,88.85,44,8.04,26.41,290.25,0.71,0.81,0.0,0.0,True,True
2032,6,647,20,3,23,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17,574,88.72,49,7.57,31.2,285.17,0.72,0.85,0.0,0.0,True,True
2033,6,746,23,3,26,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,662,88.74,55,7.37,36.04,283.27,0.74,0.83,0.0,0.56,True,True
2034,6,840,26,2,28,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,721,85.83,72,8.57,40.31,285.27,0.74,0.85,0.0,4.62,True,True
2035,6,925,28,2,30,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,782,84.54,72,7.78,40.76,280.54,0.74,0.86,0.0,6.97,True,True
2026,9,159,5,3,8,308440;308702;307904;307905;308108;5;1;2,150,94.34,7,4.4,8.75,300.88,0.6,0.74,0.0,0.0,True,True
2027,9,217,8,2,10,308440;308702;307904;307905;308108;5;1;2;91;3,199,91.71,13,5.99,12.59,317.65,0.62,0.77,0.0,0.0,True,True
2028,9,280,10,1,11,308440;308702;307904;307905;308108;5;1;2;91;3;4,247,88.21,27,9.64,16.44,330.15,0.69,0.83,0.0,0.0,True,True
2029,9,359,11,3,14,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8,318,88.58,34,9.47,18.35,300.83,0.69,0.82,0.0,0.0,True,True
2030,9,449,14,3,17,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11,400,89.09,36,8.02,24.89,304.34,0.7,0.83,0.0,0.0,True,True
2031,9,547,17,3,20,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14,483,88.3,42,7.68,28.53,292.92,0.71,0.84,0.0,0.0,True,True
2032,9,647,20,2,22,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16,544,84.08,64,9.89,32.92,299.17,0.73,0.89,0.0,3.69,True,True
2033,9,746,22,4,26,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,645,86.46,58,7.77,35.77,275.48,0.73,0.87,0.0,0.56,True,True
2034,9,840,26,2,28,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,701,83.45,83,9.88,39.04,279.89,0.73,0.87,0.0,4.62,True,True
2035,9,925,28,3,31,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,774,83.68,71,7.68,44.5,288.91,0.73,0.87,0.0,3.76,True,True
2026,0,159,5,4,9,308440;308702;307904;307905;308108;5;1;2;3,148,93.08,7,4.4,8.09,282.25,0.52,0.7,0.0,0.0,True,True
2027,0,217,9,1,10,308440;308702;307904;307905;308108;5;1;2;3;91,191,88.02,21,9.68,13.3,330.63,0.6,0.78,0.0,0.0,True,True
2028,0,280,10,2,12,308440;308702;307904;307905;308108;5;1;2;3;91;4;6,258,92.14,19,6.79,16.57,321.06,0.66,0.78,0.0,0.0,True,True
2029,0,359,12,2,14,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8,318,88.58,31,8.64,21.1,321.77,0.69,0.84,0.0,0.0,True,True
2030,0,449,14,3,17,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8;9;10;11,404,89.98,31,6.9,23.59,298.47,0.71,0.83,0.0,0.0,True,True
2031,0,547,17,3,20,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8;9;10;11;12;13;14,483,88.3,40,7.31,28.52,295.42,0.7,0.86,0.0,0.0,True,True
2032,0,647,20,3,23,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8;9;10;11;12;13;14;15;16;17,567,87.64,43,6.65,32.01,289.86,0.71,0.86,0.0,0.0,True,True
2033,0,746,23,3,26,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,653,87.53,56,7.51,35.95,278.93,0.73,0.86,0.0,0.56,True,True
2034,0,840,26,2,28,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,699,83.21,81,9.64,39.14,280.98,0.72,0.85,0.0,4.62,True,True
2035,0,925,28,3,31,308440;308702;307904;307905;308108;5;1;2;3;91;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,778,84.11,66,7.14,41.99,276.02,0.73,0.87,0.0,3.76,True,True
2026,5,159,5,3,8,308440;308702;307904;307905;308108;5;1;2,142,89.31,13,8.18,8.74,295.49,0.58,0.71,0.0,0.0,True,True
2027,5,217,8,2,10,308440;308702;307904;307905;308108;5;1;2;91;3,193,88.94,21,9.68,12.78,316.54,0.62,0.73,0.0,0.0,True,True
2028,5,280,10,2,12,308440;308702;307904;307905;308108;5;1;2;91;3;4;6,257,91.79,18,6.43,15.42,303.96,0.66,0.83,0.0,0.0,True,True
2029,5,359,12,2,14,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8,318,88.58,33,9.19,19.93,306.84,0.69,0.85,0.0,0.0,True,True
2030,5,449,14,3,17,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11,398,88.64,37,8.24,21.83,277.17,0.7,0.87,0.0,0.0,True,True
2031,5,547,17,3,20,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14,475,86.84,54,9.87,28.65,295.27,0.71,0.85,0.0,0.0,True,True
2032,5,647,20,3,23,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17,557,86.09,56,8.66,33.44,293.77,0.72,0.86,0.0,0.0,True,True
2033,5,746,23,3,26,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,634,84.99,71,9.52,34.08,271.08,0.72,0.84,0.0,0.56,True,True
2034,5,840,26,2,28,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,696,82.86,82,9.76,39.12,279.97,0.73,0.87,0.0,4.62,True,True
2035,5,925,28,3,31,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,769,83.14,81,8.76,42.98,282.52,0.73,0.86,0.0,3.76,True,True
