X,Y,fid,identificatie,addr:postcode,Max_area,X_coordinate,Y_coordinate
159998.439417301,384066.564301481,1,"0772100000297913",,1087.290,159998.439,384066.564
160141.978381006,383996.577188808,2,"0772100000296379",,1868.059,160141.978,383996.577
159960.532074165,383997.007286557,3,"0772100000298781",,525.854,159960.532,383997.007
159959.694718502,384162.049293297,4,"0772100000298326",,3602.951,159959.695,384162.049
160268.977009298,384072.629540587,5,"0772100000299528",,85.562,160268.977,384072.630
159893.366267936,384106.964211682,6,"0772100000298385",,1693.800,159893.366,384106.964
160071.325902393,384036.781120907,7,"0772100000299596",,3376.285,160071.326,384036.781
159776.510264746,384355.729331044,8,"0772100000303079",,4629.343,159776.510,384355.729
159868.501601279,384345.852167816,9,"0772100000302106",,391.682,159868.502,384345.852
159825.487680665,384377.598463604,10,"0772100000301565",,1285.806,159825.488,384377.598
159848.720017681,384222.529289625,11,"0772100000300456",,3425.540,159848.720,384222.529
159973.765043283,383979.35496344,12,"0772100000900072",,274.730,159973.765,383979.355
159676.617670485,384127.029057694,13,"0772100001009249",,5082.492,159676.618,384127.029
159784.712045024,384126.474716833,14,"0772100001013480",,481.585,159784.712,384126.475
159821.67525675,384096.954269434,15,"0772100001013510",,496.964,159821.675,384096.954
159810.550923435,384141.458320747,16,"0772100001013576",,1320.838,159810.551,384141.458
159825.172093152,384117.791664664,17,"0772100001013600",,282.177,159825.172,384117.792
159768.485795286,384099.122728036,18,"0772100001013602",,286.387,159768.486,384099.123
159749.232581842,384058.446362934,19,"0772100001013608",,276.092,159749.233,384058.446
159760.571729451,384051.815163228,20,"0772100001013609",,75.420,159760.572,384051.815
159765.33764841,384049.307826839,21,"0772100001013610",,75.601,159765.338,384049.308
159770.085525908,384046.748975967,22,"0772100001013611",,75.670,159770.086,384046.749
159774.838580253,384044.18661817,23,"0772100001013612",,75.767,159774.839,384044.187
159779.572242593,384041.607029284,24,"0772100001013613",,75.396,159779.572,384041.607
159791.265837261,384035.675608241,25,"0772100001013614",,288.507,159791.266,384035.676
159798.587452175,384043.65368698,26,"0772100001013615",,57.206,159798.587,384043.654
159801.115293287,384048.406854733,27,"0772100001013616",,81.296,159801.115,384048.407
159803.806986332,384053.251271906,28,"0772100001013617",,73.627,159803.807,384053.251
159806.323566305,384057.926129254,29,"0772100001013618",,74.695,159806.324,384057.926
159779.102648923,384096.334659156,30,"0772100001013619",,76.606,159779.103,384096.335
159783.261975582,384092.870514528,31,"0772100001013620",,60.024,159783.262,384092.871
159787.805449505,384090.421282736,32,"0772100001013621",,60.810,159787.805,384090.421
159791.432872851,384085.878589339,33,"0772100001013622",,75.679,159791.433,384085.879
