,old_index,postcode,consumption,generation,supply_area_id,supply_area_name,tennet_id,RNB_postcode
0,107511,5611AJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
1,107512,5611AT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
2,107514,5611DB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
3,107515,5611DL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
4,107516,5611EH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
5,107517,5611ES,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
6,107518,5611GC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
7,107519,5611GM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
8,107520,5611GZ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
9,107522,5612BL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
10,107523,5612BW,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
11,107524,5612CT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
12,107525,5612EC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
13,107526,5612EP,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
14,107527,5612GC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
15,107528,5612GS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
16,107529,5612HJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
17,107530,5612HT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
18,107531,5612JJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
19,107532,5612JT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
20,107533,5612KJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
21,107534,5612KT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
22,107535,5612LD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
23,107536,5612LN,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
24,107537,5612NA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
25,107538,5612NL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
26,107539,5612PA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
27,107540,5612PM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
28,107541,5612PX,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
29,107542,5612RH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
30,107543,5612RS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
31,107544,5612SG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
32,107549,5621AG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
33,107550,5621AR,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
34,107551,5621BG,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
35,107552,5621BS,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
36,107553,5621CC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
37,107554,5621CP,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
38,107556,5621EB,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
39,107557,5621EL,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
40,107558,5621GA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
41,107559,5621GK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
42,107560,5621GV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
43,107561,5621HJ,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
44,107562,5621HT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
45,107563,5622AA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
46,107564,5622AK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
47,107565,5622AV,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
48,107566,5622BE,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
49,107567,5622BP,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
50,107568,5622CD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
51,107569,5622CN,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
52,107570,5622DA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
53,107571,5622EA,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
54,107572,5622EK,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
55,107573,5622GC,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
56,107574,5622GM,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
57,107575,5622GX,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
58,107576,5622HH,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
59,107577,5622HT,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
60,107578,5622JD,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
61,107579,5622JN,2,0,EHVN,EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis
