Mosaic;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische personenauto's (BEV en PHEV), geregistreerd bij eigenaar";"%";"2021";"Metropoolregio Eindhoven";"3,1";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische personenauto's (BEV en PHEV), geregistreerd bij eigenaar";"%";"2022";"Metropoolregio Eindhoven";"4,4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische personenauto's (BEV en PHEV), geregistreerd bij eigenaar";"%";"2023";"Metropoolregio Eindhoven";"6,2";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische personenauto's (BEV en PHEV), geregistreerd bij eigenaar";"%";"2024";"Metropoolregio Eindhoven";"7,8";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische personenauto's (BEV en PHEV), geregistreerd bij eigenaar";"%";"2025";"Metropoolregio Eindhoven";"10";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische bedrijfsauto's, geregistreerd bij eigenaar";"%";"2021";"Metropoolregio Eindhoven";"0,4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische bedrijfsauto's, geregistreerd bij eigenaar";"%";"2022";"Metropoolregio Eindhoven";"0,6";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische bedrijfsauto's, geregistreerd bij eigenaar";"%";"2023";"Metropoolregio Eindhoven";"1,1";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische bedrijfsauto's, geregistreerd bij eigenaar";"%";"2024";"Metropoolregio Eindhoven";"1,6";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
"Elektrisch vervoer";"Percentage geregistreerde elektrische auto's";"Percentage elektrische bedrijfsauto's, geregistreerd bij eigenaar";"%";"2025";"Metropoolregio Eindhoven";"2,4";"RVO - Monitoring elektrisch vervoer o.b.v. gegevens RDW";"";
