car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 39,,,,28,,arrived,arrived,0.0,,,
Car 39,,23,12,,,start_charge,starting to charge at Charger 12 (fid=23),0.0,,0.0,
Car 31,,,,84,,arrived,arrived,3.0,,,
Car 407,,,,54,,arrived,arrived,3.0,,,
Car 31,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),3.0,,0.0,
Car 407,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),3.0,,0.0,
Car 159,,,,53,,arrived,arrived,6.0,,,
Car 159,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),6.0,,0.0,
Car 405,,,,11,,arrived,arrived,9.0,,,
Car 405,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),9.0,,0.0,
Car 64,,,,37,,arrived,arrived,13.0,,,
Car 64,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),13.0,,0.0,
Car 1,,,,33,,arrived,arrived,14.0,,,
Car 1,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),14.0,,0.0,
Car 62,,,,87,,arrived,arrived,20.0,,,
Car 62,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),20.0,,0.0,
Car 345,,,,9,,arrived,arrived,21.0,,,
Car 345,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),21.0,,0.0,
Car 201,,,,45,,arrived,arrived,27.0,,,
Car 201,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),27.0,,0.0,
Car 126,,,,57,,arrived,arrived,31.0,,,
Car 465,,,,18,,arrived,arrived,31.0,,,
Car 126,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),31.0,,0.0,
Car 465,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),31.0,,0.0,
Car 208,,,,37,,arrived,arrived,32.0,,,
Car 208,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),32.0,,0.0,
Car 283,,,,51,,arrived,arrived,48.0,,,
Car 283,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),48.0,,0.0,
Car 417,,,,69,,arrived,arrived,49.0,,,
Car 477,,,,9,,arrived,arrived,49.0,,,
Car 417,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),49.0,,0.0,
Car 477,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),49.0,,0.0,
Car 149,,,,25,,arrived,arrived,50.0,,,
Car 39,50.0,23,12,,,done,done charging,50.0,,,30.352942526217433
Car 149,,23,12,,,start_charge,starting to charge at Charger 12 (fid=23),50.0,,0.0,
Car 61,,,,37,,arrived,arrived,52.0,,,
Car 351,,,,83,,arrived,arrived,52.0,,,
Car 61,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),52.0,,0.0,
Car 351,,12,10,,,start_charge,starting to charge at Charger 10 (fid=12),52.0,,0.0,
Car 269,,,,37,,arrived,arrived,53.0,,,
Car 269,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),53.0,,0.0,
Car 295,,,,43,,arrived,arrived,54.0,,,
Car 295,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),54.0,,0.0,
Car 168,,,,62,,arrived,arrived,55.0,,,
Car 168,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),55.0,,0.0,
Car 219,,,,52,,arrived,arrived,61.0,,,
Car 219,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),61.0,,0.0,
Car 325,,,,45,,arrived,arrived,63.0,,,
Car 325,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 9 (fid=51)",68.0,9,,
Car 345,49.0,17,2,,,done,done charging,70.0,,,232.13972624262385
Car 499,,,,8,,arrived,arrived,71.0,,,
Car 499,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),71.0,,0.0,
Car 325,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),71.15622591677676,,5.0,
Car 159,66.0,51,9,,,done,done charging,72.0,,,52.26007319168327
Car 407,70.0,31,13,,,done,done charging,73.0,,,85.54541461119372
Car 1,60.0,34,7,,,done,done charging,74.0,,,5.505533579965259
Car 279,,,,1,,arrived,arrived,75.0,,,
Car 279,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),75.0,,0.0,
Car 107,,,,31,,arrived,arrived,80.0,,,
Car 359,,,,51,,arrived,arrived,80.0,,,
Car 107,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),80.0,,0.0,
Car 359,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),80.0,,0.0,
Car 157,,,,58,,arrived,arrived,85.0,,,
Car 227,,,,8,,arrived,arrived,85.0,,,
Car 31,82.0,7,1,,,done,done charging,85.0,,,175.08667298226
Car 157,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),85.0,,0.0,
Car 230,,,,35,,arrived,arrived,88.0,,,
Car 230,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),88.0,,0.0,
Car 404,,,,1,,arrived,arrived,89.0,,,
Car 448,,,,6,,arrived,arrived,89.0,,,
Car 404,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),89.0,,0.0,
Car 448,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),89.0,,0.0,
Car 259,,,,42,,arrived,arrived,90.0,,,
Car 284,,,,22,,arrived,arrived,90.0,,,
Car 227,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",90.0,2,,
Car 284,,23,12,,,start_charge,starting to charge at Charger 12 (fid=23),90.0,,0.0,
Car 99,,,,34,,arrived,arrived,91.0,,,
Car 99,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),91.0,,0.0,
Car 126,62.0,31,13,,,done,done charging,93.0,,,60.66664080036635
Car 259,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 8 (fid=34)",95.0,8,,
Car 259,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),95.81295898164912,,5.0,
Car 227,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 13 (fid=31)",97.36280346164456,13,,
Car 227,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),97.94815350907356,,10.0,
Car 400,,,,60,,arrived,arrived,99.0,,,
Car 400,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),99.0,,0.0,
Car 149,52.0,23,12,,,done,done charging,102.0,,,18.500904031961415
Car 178,,,,3,,arrived,arrived,104.0,,,
Car 178,,3,5,,,start_charge,starting to charge at Charger 5 (fid=3),104.0,,0.0,
Car 273,,,,56,,arrived,arrived,105.0,,,
Car 273,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),105.0,,0.0,
Car 261,,,,61,,arrived,arrived,106.0,,,
Car 208,74.0,17,4,,,done,done charging,106.0,,,144.75845650600084
Car 261,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),106.0,,0.0,
Car 60,,,,5,,arrived,arrived,107.0,,,
Car 86,,,,14,,arrived,arrived,107.0,,,
Car 60,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),107.0,,0.0,
Car 86,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),107.0,,0.0,
Car 64,95.0,17,4,,,done,done charging,108.0,,,144.75845650600084
Car 201,81.0,17,2,,,done,done charging,108.0,,,141.4159812079012
Car 269,60.0,17,4,,,done,done charging,113.0,,,144.75845650600084
Car 62,95.0,7,1,,,done,done charging,115.0,,,164.62835022255499
Car 251,,,,56,,arrived,arrived,117.0,,,
Car 251,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),117.0,,0.0,
Car 20,,,,38,,arrived,arrived,118.0,,,
Car 351,66.0,12,10,,,done,done charging,118.0,,,150.5510650011925
Car 20,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),118.0,,0.0,
Car 435,,,,13,,arrived,arrived,120.0,,,
Car 435,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),120.0,,0.0,
Car 405,113.0,17,2,,,done,done charging,122.0,,,107.35151360364253
Car 61,72.0,17,4,,,done,done charging,124.0,,,144.75845650600084
Car 417,79.0,19,3,,,done,done charging,128.0,,,16.0105391851831
Car 88,,,,77,,arrived,arrived,130.0,,,
Car 268,,,,37,,arrived,arrived,131.0,,,
Car 268,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),131.0,,0.0,
Car 123,,,,54,,arrived,arrived,132.0,,,
Car 123,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),132.0,,0.0,
Car 448,45.0,17,2,,,done,done charging,134.0,,,69.04829628602889
Car 464,,,,8,,arrived,arrived,135.0,,,
Car 283,87.0,51,9,,,done,done charging,135.0,,,0.0
Car 88,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 0 (fid=1)",135.0,0,,
Car 151,,,,82,,arrived,arrived,136.0,,,
Car 408,,,,56,,arrived,arrived,136.0,,,
Car 151,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),136.0,,0.0,
Car 408,,19,3,,,start_charge,starting to charge at Charger 3 (fid=19),136.0,,0.0,
Car 88,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),136.84494513589746,,5.0,
Car 325,66.0,51,9,,,done,done charging,137.15622591677675,,,177.1905918411081
Car 465,108.0,31,13,,,done,done charging,139.0,,,16.044241334509135
Car 464,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",140.0,2,,
Car 464,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),142.36280346164457,,5.0,
Car 477,94.0,17,2,,,done,done charging,143.0,,,232.13972624262385
Car 219,84.0,7,1,,,done,done charging,145.0,,,54.86803450095119
Car 295,93.0,34,8,,,done,done charging,147.0,,,81.91485887801264
Car 100,,,,1,,arrived,arrived,148.0,,,
Car 168,93.0,17,2,,,done,done charging,148.0,,,161.3068235537577
Car 100,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),148.0,,0.0,
Car 488,,,,91,,arrived,arrived,153.0,,,
Car 488,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),153.0,,0.0,
Car 279,81.0,1,0,,,done,done charging,156.0,,,0.0
Car 499,86.0,17,4,,,done,done charging,157.0,,,226.96083866827195
Car 86,50.0,31,13,,,done,done charging,157.0,,,33.63526893009036
Car 15,,,,71,,arrived,arrived,159.0,,,
Car 213,,,,60,,arrived,arrived,159.0,,,
Car 15,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),159.0,,0.0,
Car 213,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),159.0,,0.0,
Car 227,62.0,31,13,,,done,done charging,159.94815350907356,,,262.94470458254835
Car 273,55.0,19,3,,,done,done charging,160.0,,,47.45420779023396
Car 404,74.0,1,0,,,done,done charging,163.0,,,0.0
Car 259,69.0,34,8,,,done,done charging,164.8129589816491,,,48.406794585045574
Car 9,,,,8,,arrived,arrived,165.0,,,
Car 9,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),165.0,,0.0,
Car 99,75.0,34,7,,,done,done charging,166.0,,,0.0
Car 406,,,,73,,arrived,arrived,167.0,,,
Car 239,,,,8,,arrived,arrived,169.0,,,
Car 497,,,,66,,arrived,arrived,170.0,,,
Car 406,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",172.0,2,,
