car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 40,,,,55,,arrived,arrived,24.0,,
Car 40,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),24.0,,
Car 87,,,,90,,arrived,arrived,29.0,,
Car 87,,84,3,,,start_charge,starting to charge at Charger 3 (fid=84),29.0,,
Car 29,,,,32,,arrived,arrived,46.0,,
Car 29,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),46.0,,
Car 62,,,,85,,arrived,arrived,55.0,,
Car 83,,,,17,,arrived,arrived,56.0,,
Car 62,,,,,3,switch,"Charger 3 (fid=84) not available, trying Charger 4 (fid=7)",56.0,4,
Car 83,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),56.0,,
Car 70,,,,118,,arrived,arrived,59.0,,
Car 70,,12,15,,,start_charge,starting to charge at Charger 15 (fid=12),59.0,,
Car 62,,7,4,,,start_charge,starting to charge at Charger 4 (fid=7),59.098502164139774,,
Car 87,47.0,84,3,,,done,done charging,76.0,,98.48625658929825
Car 20,,,,115,,arrived,arrived,80.0,,
Car 20,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),80.0,,
Car 40,74.0,54,17,,,done,done charging,98.0,,64.98221692428481
Car 4,,,,116,,arrived,arrived,101.0,,
Car 4,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 1 (fid=20)",102.0,1,
Car 4,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",105.46114144582153,7,
Car 4,,69,7,,,start_charge,starting to charge at Charger 7 (fid=69),106.16635024743833,,
Car 83,61.0,28,13,,,done,done charging,117.0,,96.86735389093309
Car 31,,,,24,,arrived,arrived,120.0,,
Car 1,,,,5,,arrived,arrived,121.0,,
Car 31,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 13 (fid=28)",121.0,13,
Car 1,,65,12,,,start_charge,starting to charge at Charger 12 (fid=65),121.0,,
Car 31,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),123.46114144582153,,
Car 3,,,,64,,arrived,arrived,126.0,,
Car 3,,5,14,,,start_charge,starting to charge at Charger 14 (fid=5),126.0,,
Car 48,,,,21,,arrived,arrived,127.0,,
Car 48,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",128.0,7,
Car 48,,,,,7,switch,"Charger 7 (fid=69) not available, trying Charger 16 (fid=56)",129.7052088016168,16,
Car 48,,56,16,,,start_charge,starting to charge at Charger 16 (fid=56),131.90472839027345,,
Car 29,89.0,30,6,,,done,done charging,135.0,,69.3322342245153
Car 70,90.0,12,15,,,done,done charging,149.0,,351.040784978442
Car 34,,,,18,,arrived,arrived,165.0,,
Car 34,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",166.0,17,
Car 34,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),168.29813938214716,,
Car 62,114.0,7,4,,,done,done charging,173.09850216413977,,249.99950450910555
Car 20,98.0,20,1,,,done,done charging,178.0,,65.1206837689219
Car 24,,,,32,,arrived,arrived,191.0,,
Car 24,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),191.0,,
Car 4,95.0,69,7,,,done,done charging,201.16635024743834,,182.83890250803802
Car 8,,,,65,,arrived,arrived,211.0,,
Car 47,,,,54,,arrived,arrived,212.0,,
Car 8,,,,,12,switch,"Charger 12 (fid=65) not available, trying Charger 11 (fid=8)",212.0,11,
Car 47,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 16 (fid=56)",213.0,16,
Car 8,,8,11,,,start_charge,starting to charge at Charger 11 (fid=8),213.53448962911727,,
Car 47,,,,,16,switch,"Charger 16 (fid=56) not available, trying Charger 13 (fid=28)",215.64048444543795,13,
Car 47,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 1 (fid=20)",219.1807433953604,1,
Car 1,99.0,65,12,,,done,done charging,220.0,,148.98279131023793
Car 47,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),221.64188484118193,,
Car 48,96.0,56,16,,,done,done charging,227.90472839027345,,187.7965395530959
