car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 73,,,,58,,arrived,,arrived,39.0,,
Car 73,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),39.0,,
Car 48,,,,51,,arrived,,arrived,49.0,,
Car 81,,,,42,,arrived,,arrived,49.0,,
Car 48,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),49.0,,
Car 81,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),49.0,,
Car 6,,,,41,,arrived,,arrived,56.0,,
Car 6,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",57.0,1,
Car 6,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),58.955542804446665,,
Car 54,,,,14,,arrived,,arrived,68.0,,
Car 54,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),68.0,,
Car 62,,,,43,,arrived,,arrived,72.0,,
Car 62,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",73.0,1,
Car 62,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",75.95554280444667,0,
Car 62,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",80.8626218391883,4,
Car 37,,,,81,,arrived,,arrived,83.0,,
Car 37,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",84.0,4,
Car 62,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",85.01407227713868,2,
Car 89,,,,80,,arrived,,arrived,88.0,,
Car 62,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),88.42322256263468,,
Car 89,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",89.0,4,
Car 37,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",89.79050609035974,0,
Car 89,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 3 (fid=12)",93.15145043795039,3,
Car 37,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",93.94195652831013,2,
Car 89,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",98.94195652831013,1,
Car 37,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",100.70719294237873,5,
Car 48,58.0,11,4,,,done,,done charging,107.0,,317.86377328305974
Car 37,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",107.18858747654737,1,
Car 6,49.0,33,1,,,done,,done charging,107.95554280444667,,185.6709485428366
Car 89,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),107.95554280444667,,
Car 37,,,,,,gave_up,1,"no alternate charger available, gave up",110.14413028099403,,
Car 34,,,,41,,arrived,,arrived,116.0,,
Car 34,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",117.0,1,
Car 34,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",119.95554280444667,0,
Car 78,,,,46,,arrived,,arrived,122.0,,
Car 78,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",123.0,1,
Car 34,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",124.8626218391883,4,
Car 78,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 4 (fid=11)",125.95554280444667,4,
Car 34,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),128.0140722771387,,
Car 73,91.0,12,3,,,done,,done charging,130.0,,374.888197152897
Car 81,81.0,47,5,,,done,,done charging,130.0,,96.46446705352004
Car 78,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",132.36458124821132,2,
Car 100,,,,90,,arrived,,arrived,136.0,,
Car 100,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),136.0,,
Car 78,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",136.77373153370732,0,
Car 78,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",143.53896794777592,3,
Car 54,77.0,115,0,,,done,,done charging,145.0,,147.44054978068425
Car 58,,,,29,,arrived,,arrived,150.0,,
Car 58,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),150.0,,
Car 78,,,,,,gave_up,3,"no alternate charger available, gave up",150.02310304505795,,
Car 62,64.0,8,2,,,done,,done charging,152.4232225626347,,417.7876351727069
Car 34,49.0,11,4,,,done,,done charging,177.0140722771387,,421.1077386045574
Car 55,,,,51,,arrived,,arrived,196.0,,
Car 98,,,,8,,arrived,,arrived,196.0,,
Car 55,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),196.0,,
Car 98,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),196.0,,
Car 76,,,,11,,arrived,,arrived,207.0,,
Car 76,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",208.0,0,
Car 76,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",212.1514504379504,2,
Car 89,105.0,33,1,,,done,,done charging,212.95554280444668,,466.73258511197406
Car 29,,,,7,,arrived,,arrived,217.0,,
Car 29,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 4 (fid=11)",218.0,4,
Car 76,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",218.91668685201898,5,
Car 29,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 2 (fid=8)",223.79050609035974,2,
Car 76,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),224.39808138618764,,
Car 63,,,,57,,arrived,,arrived,227.0,,
Car 63,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",228.0,4,
Car 29,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",228.19965637585574,0,
Car 63,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 5 (fid=47)",232.1514504379504,5,
Car 100,98.0,12,3,,,done,,done charging,234.0,,275.05523981544076
Car 29,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 5 (fid=47)",234.96489278992433,5,
Car 36,,,,34,,arrived,,arrived,235.0,,
Car 36,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),235.0,,
Car 83,,,,63,,arrived,,arrived,237.0,,
Car 63,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 2 (fid=8)",237.80491146354197,2,
Car 83,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 4 (fid=11)",238.0,4,
Car 29,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=33)",240.18741611957103,1,
Car 83,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 5 (fid=47)",242.409150285496,5,
Car 29,,,,,,gave_up,1,"no alternate charger available, gave up",243.1429589240177,,
Car 63,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",244.28630599771063,1,
