car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 154,,,,73,,arrived,,arrived,0.0,,,
Car 154,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),0.0,,0.0,
Car 443,,,,3,,arrived,,arrived,3.0,,,
Car 443,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),3.0,,0.0,
Car 221,,,,61,,arrived,,arrived,5.0,,,
Car 221,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),5.0,,0.0,
Car 433,,,,4,,arrived,,arrived,20.0,,,
Car 433,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),20.0,,0.0,
Car 105,,,,91,,arrived,,arrived,21.0,,,
Car 105,,83,5,,,start_charge,,starting to charge at Charger 5 (fid=83),21.0,,0.0,
Car 46,,,,60,,arrived,,arrived,26.0,,,
Car 46,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),26.0,,0.0,
Car 195,,,,9,,arrived,,arrived,27.0,,,
Car 195,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),27.0,,0.0,
Car 492,,,,37,,arrived,,arrived,29.0,,,
Car 492,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),29.0,,0.0,
Car 485,,,,13,,arrived,,arrived,30.0,,,
Car 485,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),30.0,,0.0,
Car 74,,,,55,,arrived,,arrived,32.0,,,
Car 419,,,,2,,arrived,,arrived,32.0,,,
Car 74,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),32.0,,0.0,
Car 419,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),32.0,,0.0,
Car 165,,,,73,,arrived,,arrived,36.0,,,
Car 165,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),36.0,,0.0,
Car 343,,,,8,,arrived,,arrived,40.0,,,
Car 343,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),40.0,,0.0,
Car 442,,,,27,,arrived,,arrived,43.0,,,
Car 442,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),43.0,,0.0,
Car 300,,,,4,,arrived,,arrived,50.0,,,
Car 414,,,,37,,arrived,,arrived,51.0,,,
Car 200,,,,40,,arrived,,arrived,54.0,,,
Car 200,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),54.0,,0.0,
Car 300,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",55.0,2,,
Car 34,,,,37,,arrived,,arrived,56.0,,,
Car 414,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",56.0,2,,
Car 300,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),57.36280346164456,,5.0,
Car 164,,,,73,,arrived,,arrived,58.0,,,
Car 414,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),58.36280346164456,,5.0,
Car 27,,,,54,,arrived,,arrived,60.0,,,
Car 34,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",61.0,2,,
Car 164,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",63.0,2,,
Car 27,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 4 (fid=17)",65.0,4,,
Car 157,,,,4,,arrived,,arrived,66.0,,,
Car 34,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",68.36280346164456,3,,
Car 34,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),69.51979980441114,,10.0,
Car 164,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",70.36280346164456,3,,
Car 157,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",71.0,2,,
Car 164,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),71.51979980441114,,10.0,
Car 27,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 3 (fid=19)",72.36280346164456,3,,
Car 27,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),74.31553708691507,,10.0,
Car 286,,,,37,,arrived,,arrived,76.0,,,
Car 157,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",78.36280346164456,3,,
Car 317,,,,79,,arrived,,arrived,81.0,,,
Car 286,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",81.0,2,,
Car 195,56.0,17,2,,,done,,done charging,83.0,,,232.13972624262385
Car 317,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),83.0,,2.0,
Car 58,,,,65,,arrived,,arrived,84.0,,,
Car 157,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",84.51979980441114,0,,
Car 228,,,,77,,arrived,,arrived,85.0,,,
Car 415,,,,46,,arrived,,arrived,85.0,,,
Car 492,56.0,17,4,,,done,,done charging,85.0,,,144.75845650600084
Car 228,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),85.0,,0.0,
Car 58,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),85.0,,1.0,
Car 352,,,,37,,arrived,,arrived,86.0,,,
Car 402,,,,59,,arrived,,arrived,87.0,,,
Car 402,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),87.0,,0.0,
Car 157,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),87.51305537141829,,15.0,
Car 286,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",88.36280346164456,3,,
