car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 73,,,,58,,arrived,,arrived,39.0,,
Car 73,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),39.0,,
Car 48,,,,51,,arrived,,arrived,49.0,,
Car 81,,,,42,,arrived,,arrived,49.0,,
Car 81,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),49.0,,
Car 48,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",50.0,2,
Car 6,,,,41,,arrived,,arrived,56.0,,
Car 6,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",57.0,0,
Car 48,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),57.59623587104941,,
Car 6,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),60.907079034741635,,
Car 54,,,,14,,arrived,,arrived,68.0,,
Car 54,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",69.0,3,
Car 62,,,,43,,arrived,,arrived,72.0,,
Car 62,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",73.0,0,
Car 54,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",75.48413509728204,1,
Car 62,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",77.90707903474163,2,
Car 37,,,,81,,arrived,,arrived,83.0,,
Car 37,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",84.0,0,
Car 62,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",84.67231544881022,3,
Car 54,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",85.01143047405546,2,
Car 89,,,,80,,arrived,,arrived,88.0,,
Car 89,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",89.0,3,
Car 37,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",90.48413509728204,2,
Car 54,,,,,,gave_up,2,"no alternate charger available, gave up",91.834879889358,,
Car 62,,,,,,gave_up,3,"no alternate charger available, gave up",93.26855131985963,,
Car 89,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",95.48413509728204,1,
Car 37,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",97.24937151135063,1,
Car 37,,,,,,gave_up,1,"no alternate charger available, gave up",104.0728209266532,,
Car 89,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",105.01143047405546,2,
Car 6,49.0,115,0,,,done,,done charging,109.90707903474163,,312.65725755921426
Car 89,,,,,,gave_up,2,"no alternate charger available, gave up",111.834879889358,,
Car 48,58.0,8,2,,,done,,done charging,115.5962358710494,,420.34919271491907
Car 34,,,,41,,arrived,,arrived,116.0,,
Car 34,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",117.0,0,
Car 34,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),120.90707903474163,,
Car 78,,,,46,,arrived,,arrived,122.0,,
Car 78,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",123.0,2,
Car 78,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),128.82344941530255,,
Car 73,91.0,12,3,,,done,,done charging,130.0,,374.888197152897
Car 81,81.0,33,1,,,done,,done charging,130.0,,192.55290942528595
Car 100,,,,90,,arrived,,arrived,136.0,,
Car 100,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),136.0,,
Car 58,,,,29,,arrived,,arrived,150.0,,
Car 58,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",151.0,3,
Car 58,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",157.48413509728204,1,
Car 58,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),166.01143047405546,,
Car 34,49.0,115,0,,,done,,done charging,169.90707903474163,,312.65725755921426
Car 55,,,,51,,arrived,,arrived,196.0,,
Car 98,,,,8,,arrived,,arrived,196.0,,
Car 55,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",197.0,2,
Car 98,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",197.0,0,
Car 98,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),202.7652364140686,,
Car 55,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",205.5962358710494,0,
Car 76,,,,11,,arrived,,arrived,207.0,,
Car 76,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",208.0,2,
Car 55,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",212.361472285118,1,
Car 76,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",214.7652364140686,3,
Car 29,,,,7,,arrived,,arrived,217.0,,
Car 55,,,,,,gave_up,1,"no alternate charger available, gave up",217.26855131985963,,
Car 29,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",218.0,2,
Car 76,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",223.361472285118,1,
Car 29,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",226.5962358710494,0,
Car 63,,,,57,,arrived,,arrived,227.0,,
Car 63,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",228.0,2,
Car 78,102.0,8,2,,,done,,done charging,230.82344941530255,,296.39148315186924
Car 76,,,,,,gave_up,1,"no alternate charger available, gave up",232.88876766189142,,
Car 29,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",233.361472285118,1,
Car 63,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),233.7652364140686,,
Car 100,98.0,12,3,,,done,,done charging,234.0,,275.05523981544076
Car 36,,,,34,,arrived,,arrived,235.0,,
Car 36,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",236.0,0,
Car 83,,,,63,,arrived,,arrived,237.0,,
Car 83,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",238.0,1,
Car 29,,,,,,gave_up,1,"no alternate charger available, gave up",238.26855131985963,,
Car 36,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",240.90707903474163,2,
Car 83,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",244.82344941530255,0,
Car 36,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",247.67231544881022,3,
Car 86,,,,14,,arrived,,arrived,249.0,,
Car 83,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",249.73052845004418,3,
Car 86,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",250.0,3,
