car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 53,,,,4,,arrived,,arrived,2.0,,,
Car 276,,,,52,,arrived,,arrived,2.0,,,
Car 53,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),2.0,,0.0,
Car 276,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),2.0,,0.0,
Car 215,,,,4,,arrived,,arrived,3.0,,,
Car 215,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),3.0,,0.0,
Car 284,,,,51,,arrived,,arrived,4.0,,,
Car 284,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),4.0,,0.0,
Car 414,,,,58,,arrived,,arrived,11.0,,,
Car 414,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),11.0,,0.0,
Car 326,,,,117,,arrived,,arrived,13.0,,,
Car 326,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),13.0,,0.0,
Car 175,,,,2,,arrived,,arrived,16.0,,,
Car 175,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),16.0,,0.0,
Car 289,,,,18,,arrived,,arrived,20.0,,,
Car 500,,,,31,,arrived,,arrived,20.0,,,
Car 289,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),20.0,,0.0,
Car 500,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),20.0,,0.0,
Car 401,,,,76,,arrived,,arrived,21.0,,,
Car 401,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),21.0,,0.0,
Car 145,,,,50,,arrived,,arrived,24.0,,,
Car 145,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),24.0,,0.0,
Car 16,,,,21,,arrived,,arrived,25.0,,,
Car 43,,,,14,,arrived,,arrived,25.0,,,
Car 388,,,,4,,arrived,,arrived,25.0,,,
Car 16,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),25.0,,0.0,
Car 43,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),25.0,,0.0,
Car 425,,,,34,,arrived,,arrived,29.0,,,
