car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 55,,,,73,,arrived,,arrived,0.0,,,
Car 55,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),0.0,,0.0,
Car 626,,,,52,,arrived,,arrived,2.0,,,
Car 626,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),2.0,,0.0,
Car 344,,,,3,,arrived,,arrived,3.0,,,
Car 344,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),3.0,,0.0,
Car 614,,,,22,,arrived,,arrived,4.0,,,
Car 736,,,,81,,arrived,,arrived,4.0,,,
Car 614,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),4.0,,0.0,
Car 736,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),4.0,,0.0,
Car 122,,,,61,,arrived,,arrived,5.0,,,
Car 713,,,,7,,arrived,,arrived,5.0,,,
Car 122,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),5.0,,0.0,
Car 713,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),5.0,,0.0,
Car 525,,,,62,,arrived,,arrived,10.0,,,
Car 525,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),10.0,,0.0,
Car 652,,,,23,,arrived,,arrived,12.0,,,
Car 684,,,,15,,arrived,,arrived,12.0,,,
Car 652,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),12.0,,0.0,
Car 684,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),12.0,,0.0,
Car 688,,,,29,,arrived,,arrived,15.0,,,
Car 688,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),15.0,,0.0,
Car 334,,,,4,,arrived,,arrived,20.0,,,
Car 334,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),20.0,,0.0,
Car 6,,,,91,,arrived,,arrived,21.0,,,
Car 6,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),21.0,,0.0,
Car 96,,,,9,,arrived,,arrived,27.0,,,
Car 96,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),27.0,,0.0,
Car 393,,,,37,,arrived,,arrived,29.0,,,
Car 386,,,,13,,arrived,,arrived,30.0,,,
Car 386,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),30.0,,0.0,
Car 415,,,,37,,arrived,,arrived,31.0,,,
Car 320,,,,2,,arrived,,arrived,32.0,,,
Car 320,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),32.0,,0.0,
Car 393,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",34.0,3,,
Car 393,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),35.156996342766575,,5.0,
Car 66,,,,73,,arrived,,arrived,36.0,,,
Car 415,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",36.0,3,,
Car 557,,,,57,,arrived,,arrived,38.0,,,
Car 244,,,,8,,arrived,,arrived,40.0,,,
Car 66,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",41.0,3,,
Car 415,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",42.156996342766575,0,,
Car 343,,,,27,,arrived,,arrived,43.0,,,
Car 557,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",43.0,2,,
Car 244,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",45.0,3,,
Car 415,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),45.150251909773736,,10.0,
Car 66,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",47.156996342766575,0,,
Car 343,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",48.0,2,,
Car 557,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",49.156996342766575,0,,
Car 201,,,,4,,arrived,,arrived,50.0,,,
Car 66,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),50.150251909773736,,10.0,
Car 315,,,,37,,arrived,,arrived,51.0,,,
Car 244,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",51.156996342766575,0,,
Car 619,,,,15,,arrived,,arrived,52.0,,,
Car 101,,,,40,,arrived,,arrived,54.0,,,
Car 343,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",54.156996342766575,0,,
Car 201,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",55.0,3,,
Car 315,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",56.0,3,,
Car 557,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",56.326040526892584,1,,
Car 619,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",57.0,3,,
Car 557,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),57.27126465032297,,15.0,
Car 65,,,,73,,arrived,,arrived,58.0,,,
Car 592,,,,22,,arrived,,arrived,58.0,,,
Car 101,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",59.0,2,,
Car 244,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",59.150251909773736,1,,
Car 201,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",61.156996342766575,0,,
Car 343,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",61.326040526892584,1,,
Car 315,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",62.156996342766575,0,,
Car 65,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",63.0,3,,
Car 592,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 2 (fid=17)",63.0,2,,
Car 619,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",63.156996342766575,0,,
Car 244,,,,,,gave_up,1,"no alternate charger available, gave up",65.09547603320412,,,
Car 58,,,,4,,arrived,,arrived,66.0,,,
Car 101,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 1 (fid=7)",66.16904418412601,1,,
Car 343,,,,,,gave_up,1,"no alternate charger available, gave up",67.27126465032296,,,
Car 614,65.0,19,3,,,done,,done charging,69.0,,,23.909567499220447
Car 65,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),69.0,,9.843003657233425,
Car 201,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",69.15025190977373,1,,
Car 592,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",69.15699634276658,0,,
Car 682,,,,63,,arrived,,arrived,70.0,,,
Car 315,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",70.15025190977373,1,,
Car 58,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",71.0,3,,
Car 619,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",71.15025190977373,1,,
Car 653,,,,63,,arrived,,arrived,73.0,,,
Car 754,,,,82,,arrived,,arrived,73.0,,,
Car 101,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 3 (fid=19)",74.27999250957849,3,,
Car 682,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",75.0,3,,
Car 201,,,,,,gave_up,1,"no alternate charger available, gave up",75.09547603320411,,,
Car 187,,,,37,,arrived,,arrived,76.0,,,
Car 315,,,,,,gave_up,1,"no alternate charger available, gave up",76.09547603320411,,,
Car 592,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 1 (fid=7)",76.32604052689258,1,,
Car 619,,,,,,gave_up,1,"no alternate charger available, gave up",77.09547603320411,,,
Car 58,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",77.15699634276658,0,,
Car 653,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",78.0,3,,
Car 754,,,,,1,switch,,"Charger 1 (fid=7) not available, trying Charger 0 (fid=1)",78.0,0,,
Car 218,,,,79,,arrived,,arrived,81.0,,,
Car 187,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 3 (fid=19)",81.0,3,,
Car 682,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",81.15699634276658,0,,
Car 629,,,,8,,arrived,,arrived,82.0,,,
Car 592,,,,,,gave_up,1,"no alternate charger available, gave up",82.27126465032296,,,
Car 96,56.0,17,2,,,done,,done charging,83.0,,,232.13972624262385
Car 218,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),83.0,,2.0,
Car 101,,,,,,gave_up,3,"no alternate charger available, gave up",83.1553923431383,,,
Car 754,,,,,0,switch,,"Charger 0 (fid=1) not available, trying Charger 2 (fid=17)",83.94522412343038,2,,
Car 653,,,,,3,switch,,"Charger 3 (fid=19) not available, trying Charger 0 (fid=1)",84.15699634276658,0,,
Car 129,,,,77,,arrived,,arrived,85.0,,,
Car 316,,,,46,,arrived,,arrived,85.0,,,
