car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 463,,,,68,,arrived,,arrived,0.0,,,
Car 463,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),0.0,,0.0,
Car 328,,,,52,,arrived,,arrived,2.0,,,
Car 818,,,,91,,arrived,,arrived,2.0,,,
Car 328,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),2.0,,0.0,
Car 818,,88,10,,,start_charge,,starting to charge at Charger 10 (fid=88),2.0,,0.0,
Car 46,,,,3,,arrived,,arrived,3.0,,,
Car 1408,,,,31,,arrived,,arrived,3.0,,,
Car 46,,77,14,,,start_charge,,starting to charge at Charger 14 (fid=77),3.0,,0.0,
Car 1408,,29,8,,,start_charge,,starting to charge at Charger 8 (fid=29),3.0,,0.0,
Car 316,,,,22,,arrived,,arrived,4.0,,,
Car 438,,,,81,,arrived,,arrived,4.0,,,
Car 1315,,,,69,,arrived,,arrived,4.0,,,
Car 1409,,,,60,,arrived,,arrived,4.0,,,
Car 316,,19,3,,,start_charge,,starting to charge at Charger 3 (fid=19),4.0,,0.0,
Car 438,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),4.0,,0.0,
Car 1315,,71,13,,,start_charge,,starting to charge at Charger 13 (fid=71),4.0,,0.0,
Car 1409,,77,14,,,start_charge,,starting to charge at Charger 14 (fid=77),4.0,,0.0,
Car 415,,,,7,,arrived,,arrived,5.0,,,
Car 1150,,,,40,,arrived,,arrived,5.0,,,
Car 1443,,,,26,,arrived,,arrived,5.0,,,
Car 415,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),5.0,,0.0,
Car 1150,,77,14,,,start_charge,,starting to charge at Charger 14 (fid=77),5.0,,0.0,
Car 1443,,26,9,,,start_charge,,starting to charge at Charger 9 (fid=26),5.0,,0.0,
Car 1314,,,,45,,arrived,,arrived,7.0,,,
Car 1314,,77,14,,,start_charge,,starting to charge at Charger 14 (fid=77),7.0,,0.0,
Car 1217,,,,69,,arrived,,arrived,8.0,,,
Car 1217,,71,13,,,start_charge,,starting to charge at Charger 13 (fid=71),8.0,,0.0,
Car 1160,,,,66,,arrived,,arrived,9.0,,,
Car 1160,,77,14,,,start_charge,,starting to charge at Charger 14 (fid=77),9.0,,0.0,
Car 227,,,,62,,arrived,,arrived,10.0,,,
Car 577,,,,60,,arrived,,arrived,10.0,,,
Car 667,,,,73,,arrived,,arrived,10.0,,,
Car 916,,,,1,,arrived,,arrived,10.0,,,
Car 1002,,,,8,,arrived,,arrived,10.0,,,
Car 1080,,,,40,,arrived,,arrived,10.0,,,
Car 667,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),10.0,,0.0,
Car 916,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),10.0,,0.0,
Car 1002,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),10.0,,0.0,
Car 354,,,,23,,arrived,,arrived,12.0,,,
Car 386,,,,15,,arrived,,arrived,12.0,,,
Car 354,,26,9,,,start_charge,,starting to charge at Charger 9 (fid=26),12.0,,0.0,
Car 386,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),12.0,,0.0,
Car 390,,,,29,,arrived,,arrived,15.0,,,
Car 227,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 2 (fid=17)",15.0,2,,
Car 577,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 2 (fid=17)",15.0,2,,
Car 1080,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 0 (fid=1)",15.0,0,,
Car 390,,29,8,,,start_charge,,starting to charge at Charger 8 (fid=29),15.0,,0.0,
Car 1084,,,,52,,arrived,,arrived,16.0,,,
Car 1155,,,,67,,arrived,,arrived,16.0,,,
Car 1084,,7,1,,,start_charge,,starting to charge at Charger 1 (fid=7),16.0,,0.0,
Car 1155,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),16.0,,0.0,
Car 1080,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),16.550019282270547,,5.0,
Car 227,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),17.112741497001025,,5.0,
Car 577,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),17.112741497001025,,5.0,
Car 543,,,,44,,arrived,,arrived,18.0,,,
Car 543,,29,8,,,start_charge,,starting to charge at Charger 8 (fid=29),18.0,,0.0,
Car 36,,,,4,,arrived,,arrived,20.0,,,
Car 769,,,,91,,arrived,,arrived,20.0,,,
Car 769,,88,10,,,start_charge,,starting to charge at Charger 10 (fid=88),20.0,,0.0,
Car 1121,,,,77,,arrived,,arrived,21.0,,,
Car 1138,,,,6,,arrived,,arrived,21.0,,,
Car 1138,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),21.0,,0.0,
Car 604,,,,55,,arrived,,arrived,23.0,,,
Car 982,,,,11,,arrived,,arrived,23.0,,,
Car 1032,,,,60,,arrived,,arrived,23.0,,,
Car 1159,,,,73,,arrived,,arrived,23.0,,,
Car 604,,18,15,,,start_charge,,starting to charge at Charger 15 (fid=18),23.0,,0.0,
Car 982,,17,2,,,start_charge,,starting to charge at Charger 2 (fid=17),23.0,,0.0,
Car 1159,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),23.0,,0.0,
Car 504,,,,89,,arrived,,arrived,24.0,,,
Car 504,,88,10,,,start_charge,,starting to charge at Charger 10 (fid=88),24.0,,0.0,
Car 36,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 0 (fid=1)",25.0,0,,
Car 665,,,,54,,arrived,,arrived,26.0,,,
Car 895,,,,37,,arrived,,arrived,26.0,,,
Car 1121,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 0 (fid=1)",26.0,0,,
Car 665,,18,15,,,start_charge,,starting to charge at Charger 15 (fid=18),26.0,,0.0,
Car 895,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),26.0,,0.0,
Car 36,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),26.550019282270547,,5.0,
Car 1456,,,,67,,arrived,,arrived,27.0,,,
Car 1121,,1,0,,,start_charge,,starting to charge at Charger 0 (fid=1),27.550019282270547,,5.0,
Car 1032,,,,,14,switch,,"Charger 14 (fid=77) not available, trying Charger 2 (fid=17)",28.0,2,,
Car 95,,,,37,,arrived,,arrived,29.0,,,
Car 88,,,,13,,arrived,,arrived,30.0,,,
Car 545,,,,80,,arrived,,arrived,30.0,,,
Car 1109,,,,54,,arrived,,arrived,30.0,,,
Car 1199,,,,13,,arrived,,arrived,30.0,,,
Car 545,,26,6,,,start_charge,,starting to charge at Charger 6 (fid=26),30.0,,0.0,
Car 1109,,18,15,,,start_charge,,starting to charge at Charger 15 (fid=18),30.0,,0.0,
Car 117,,,,37,,arrived,,arrived,31.0,,,
Car 22,,,,2,,arrived,,arrived,32.0,,,
Car 1456,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 8 (fid=29)",32.0,8,,
Car 22,,2,5,,,start_charge,,starting to charge at Charger 5 (fid=2),32.0,,0.0,
Car 1456,,29,8,,,start_charge,,starting to charge at Charger 8 (fid=29),32.78415020419533,,5.0,
Car 95,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 15 (fid=18)",34.0,15,,
Car 1493,,,,30,,arrived,,arrived,35.0,,,
Car 88,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 13 (fid=71)",35.0,13,,
Car 1199,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 13 (fid=71)",35.0,13,,
Car 1493,,18,15,,,start_charge,,starting to charge at Charger 15 (fid=18),35.0,,0.0,
Car 1032,,,,,2,switch,,"Charger 2 (fid=17) not available, trying Charger 0 (fid=1)",35.112741497001025,0,,
Car 95,,18,15,,,start_charge,,starting to charge at Charger 15 (fid=18),35.828218180305164,,5.0,
Car 1472,,,,15,,arrived,,arrived,36.0,,,
