car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 89,,,,21,,arrived,arrived,3.0,,
Car 89,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),3.0,,
Car 113,,,,54,,arrived,arrived,10.0,,
Car 113,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),10.0,,
Car 39,,,,89,,arrived,arrived,23.0,,
Car 39,,76,1,,,start_charge,starting to charge at Charger 1 (fid=76),23.0,,
Car 44,,,,66,,arrived,arrived,45.0,,
Car 44,,78,5,,,start_charge,starting to charge at Charger 5 (fid=78),45.0,,
Car 142,,,,31,,arrived,arrived,47.0,,
Car 142,,30,15,,,start_charge,starting to charge at Charger 15 (fid=30),47.0,,
Car 50,,,,116,,arrived,arrived,55.0,,
Car 50,,25,16,,,start_charge,starting to charge at Charger 16 (fid=25),55.0,,
Car 148,,,,54,,arrived,arrived,56.0,,
Car 148,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 15 (fid=30)",57.0,15,
Car 148,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",58.9369021775902,0,
Car 148,,31,0,,,start_charge,starting to charge at Charger 0 (fid=31),59.23792248135596,,
Car 69,,,,83,,arrived,arrived,66.0,,
Car 69,,117,19,,,start_charge,starting to charge at Charger 19 (fid=117),66.0,,
Car 73,,,,27,,arrived,arrived,71.0,,
Car 73,,27,18,,,start_charge,starting to charge at Charger 18 (fid=27),71.0,,
Car 66,,,,29,,arrived,arrived,72.0,,
Car 66,,34,10,,,start_charge,starting to charge at Charger 10 (fid=34),72.0,,
Car 120,,,,124,,arrived,arrived,74.0,,
Car 120,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",75.0,2,
Car 120,,70,2,,,start_charge,starting to charge at Charger 2 (fid=70),75.59518555183776,,
Car 4,,,,34,,arrived,arrived,87.0,,
Car 4,,34,13,,,start_charge,starting to charge at Charger 13 (fid=34),87.0,,
Car 89,86.0,21,21,,,done,done charging,89.0,,25.89714133594584
Car 90,,,,14,,arrived,arrived,94.0,,
Car 90,,,,,15,switch,"Charger 15 (fid=30) not available, trying Charger 0 (fid=31)",95.0,0,
Car 90,,,,,0,switch,"Charger 0 (fid=31) not available, trying Charger 13 (fid=34)",96.30102030376577,13,
Car 90,,,,,13,switch,"Charger 13 (fid=34) not available, trying Charger 14 (fid=71)",97.92755968444747,14,
Car 90,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",100.18998093895361,2,
Car 90,,,,,2,switch,"Charger 2 (fid=70) not available, trying Charger 3 (fid=17)",101.78516649079137,3,
Car 86,,,,85,,arrived,arrived,102.0,,
Car 86,,,,,1,switch,"Charger 1 (fid=76) not available, trying Charger 11 (fid=2)",103.0,11,
Car 90,,17,3,,,start_charge,starting to charge at Charger 3 (fid=17),103.96749741636549,,
Car 86,,2,11,,,start_charge,starting to charge at Charger 11 (fid=2),104.89766953412065,,
Car 39,88.0,76,1,,,done,done charging,111.0,,98.51714148768994
Car 50,58.0,25,16,,,done,done charging,113.0,,95.92835461745439
Car 73,50.0,27,18,,,done,done charging,121.0,,5.548776427921038
Car 113,120.0,71,14,,,done,done charging,130.0,,128.6973318371229
Car 142,84.0,30,15,,,done,done charging,131.0,,25.074991303687927
Car 120,56.0,70,2,,,done,done charging,131.59518555183774,,111.8329659700249
Car 71,,,,21,,arrived,arrived,139.0,,
Car 69,73.0,117,19,,,done,done charging,139.0,,159.06282766994502
Car 71,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),139.0,,
Car 106,,,,91,,arrived,arrived,146.0,,
Car 106,,76,1,,,start_charge,starting to charge at Charger 1 (fid=76),146.0,,
Car 44,107.0,78,5,,,done,done charging,152.0,,192.91281186890677
Car 98,,,,63,,arrived,arrived,163.0,,
Car 98,,9,9,,,start_charge,starting to charge at Charger 9 (fid=9),163.0,,
Car 90,61.0,17,3,,,done,done charging,164.9674974163655,,138.09370057758323
Car 66,97.0,34,10,,,done,done charging,169.0,,26.91333970036788
Car 148,116.0,31,0,,,done,done charging,175.23792248135595,,130.94494803382753
Car 21,,,,39,,arrived,arrived,181.0,,
Car 21,,3,17,,,start_charge,starting to charge at Charger 17 (fid=3),181.0,,
Car 86,96.0,2,11,,,done,done charging,200.89766953412067,,169.6269529321824
Car 4,120.0,34,13,,,done,done charging,207.0,,21.833893360859815
Car 35,,,,69,,arrived,arrived,210.0,,
Car 35,,71,14,,,start_charge,starting to charge at Charger 14 (fid=71),210.0,,
Car 71,74.0,21,21,,,done,done charging,213.0,,25.89714133594584
Car 122,,,,62,,arrived,arrived,218.0,,
Car 122,,61,6,,,start_charge,starting to charge at Charger 6 (fid=61),218.0,,
Car 24,,,,5,,arrived,arrived,243.0,,
Car 24,,2,11,,,start_charge,starting to charge at Charger 11 (fid=2),243.0,,
Car 72,,,,3,,arrived,arrived,245.0,,
Car 72,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 6 (fid=61)",246.0,6,
Car 58,,,,4,,arrived,arrived,247.0,,
Car 76,,,,19,,arrived,arrived,247.0,,
Car 58,,81,7,,,start_charge,starting to charge at Charger 7 (fid=81),247.0,,
Car 117,,,,3,,arrived,arrived,248.0,,
Car 76,,,,,14,switch,"Charger 14 (fid=71) not available, trying Charger 2 (fid=70)",248.0,2,
Car 117,,21,21,,,start_charge,starting to charge at Charger 21 (fid=21),248.0,,
Car 76,,70,2,,,start_charge,starting to charge at Charger 2 (fid=70),248.59518555183777,,
Car 72,,,,,6,switch,"Charger 6 (fid=61) not available, trying Charger 8 (fid=75)",248.6815725262161,8,
Car 72,,75,8,,,start_charge,starting to charge at Charger 8 (fid=75),252.44659297938466,,
Car 98,93.0,9,9,,,done,done charging,256.0,,218.1917188725909
Car 84,,,,4,,arrived,arrived,263.0,,
Car 84,,48,4,,,start_charge,starting to charge at Charger 4 (fid=48),263.0,,
Car 106,120.0,76,1,,,done,done charging,266.0,,94.68924250631625
Car 136,,,,30,,arrived,arrived,279.0,,
Car 136,,30,15,,,start_charge,starting to charge at Charger 15 (fid=30),279.0,,
Car 21,106.0,3,17,,,done,done charging,287.0,,52.897065614166266
Car 122,75.0,61,6,,,done,done charging,293.0,,162.72471377920127
Car 137,,,,65,,arrived,arrived,300.0,,
