car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 155,,,,82,,arrived,,arrived,11.0,,
Car 155,,91,5,,,start_charge,,starting to charge at Charger 5 (fid=91),11.0,,
Car 299,,,,22,,arrived,,arrived,21.0,,
Car 299,,25,4,,,start_charge,,starting to charge at Charger 4 (fid=25),21.0,,
Car 157,,,,5,,arrived,,arrived,22.0,,
Car 157,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 6 (fid=6)",23.0,6,
Car 240,,,,66,,arrived,,arrived,26.0,,
Car 240,,11,7,,,start_charge,,starting to charge at Charger 7 (fid=11),26.0,,
Car 157,,6,6,,,start_charge,,starting to charge at Charger 6 (fid=6),28.74541278993629,,
Car 268,,,,59,,arrived,,arrived,32.0,,
Car 191,,,,84,,arrived,,arrived,33.0,,
Car 268,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 6 (fid=6)",33.0,6,
Car 191,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 3 (fid=17)",34.0,3,
Car 191,,17,3,,,start_charge,,starting to charge at Charger 3 (fid=17),39.01376646569434,,
Car 268,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 7 (fid=11)",39.74541278993629,7,
Car 268,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 3 (fid=17)",42.909808923389505,3,
Car 268,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",46.14576564555789,0,
Car 268,,30,0,,,start_charge,,starting to charge at Charger 0 (fid=30),47.62914856604366,,
Car 166,,,,32,,arrived,,arrived,56.0,,
Car 228,,,,40,,arrived,,arrived,56.0,,
Car 166,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",57.0,3,
Car 228,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",57.0,6,
Car 155,48.0,91,5,,,done,,done charging,59.0,,114.33957705829991
Car 166,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 4 (fid=25)",59.483382920485774,4,
Car 221,,,,58,,arrived,,arrived,60.0,,
Car 221,,91,5,,,start_charge,,starting to charge at Charger 5 (fid=91),60.0,,
Car 228,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 3 (fid=17)",60.16439613345322,3,
Car 166,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 7 (fid=11)",62.154588790537105,7,
Car 228,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",63.34585089075111,0,
Car 228,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",65.82923381123689,4,
Car 166,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",66.43332585734039,6,
Car 228,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",68.60737055739033,5,
Car 166,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 1 (fid=48)",69.59772199079362,1,
Car 150,,,,10,,arrived,,arrived,70.0,,
Car 150,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",71.0,6,
Car 150,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 0 (fid=30)",74.16439613345322,0,
Car 166,,48,1,,,start_charge,,starting to charge at Charger 1 (fid=48),75.5252975526875,,
Car 228,,,,,5,switch,,"Charger 5 (fid=91) not available, trying Charger 1 (fid=48)",75.66391736771958,1,
Car 150,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 3 (fid=17)",78.20080828582047,3,
Car 150,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 1 (fid=48)",80.68419120630625,1,
Car 252,,,,72,,arrived,,arrived,84.0,,
Car 252,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",85.0,4,
Car 228,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",86.526515664966,2,
Car 150,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",87.16144856327475,2,
Car 228,,49,2,,,start_charge,,starting to charge at Charger 2 (fid=49),87.25620869880146,,
Car 252,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 3 (fid=17)",87.77813674615344,3,
Car 150,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 4 (fid=25)",88.8911415971102,4,
Car 252,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 7 (fid=11)",90.44934261620476,7,
Car 252,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",93.68529933837314,6,
Car 150,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 5 (fid=91)",95.39378440141414,5,
Car 252,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 1 (fid=48)",96.84969547182637,1,
Car 54,,,,50,,arrived,,arrived,100.0,,
Car 54,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 6 (fid=6)",101.0,6,
Car 150,,,,,,gave_up,5,"no alternate charger available, gave up",102.45033121174339,,
Car 286,,,,25,,arrived,,arrived,103.0,,
Car 252,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",103.77727103372027,2,
Car 286,,,,,1,switch,,"Charger 1 (fid=48) not available, trying Charger 2 (fid=49)",104.0,2,
Car 54,,,,,6,switch,,"Charger 6 (fid=6) not available, trying Charger 3 (fid=17)",104.16439613345322,3,
Car 252,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 5 (fid=91)",105.50696406755573,5,
Car 286,,,,,2,switch,,"Charger 2 (fid=49) not available, trying Charger 4 (fid=25)",105.72969303383546,4,
Car 254,,,,57,,arrived,,arrived,107.0,,
Car 54,,,,,3,switch,,"Charger 3 (fid=17) not available, trying Charger 0 (fid=30)",107.34585089075111,0,
Car 254,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 7 (fid=11)",108.0,7,
Car 191,70.0,17,3,,,done,,done charging,109.01376646569435,,443.1910594081887
Car 54,,,,,0,switch,,"Charger 0 (fid=30) not available, trying Charger 4 (fid=25)",109.82923381123689,4,
Car 254,,,,,7,switch,,"Charger 7 (fid=11) not available, trying Charger 3 (fid=17)",111.29820672977083,3,
Car 286,,,,,4,switch,,"Charger 4 (fid=25) not available, trying Charger 7 (fid=11)",112.23233583813939,7,
