scenario,seed,num_chargers,total_arrivals,charged,gave_up,pct_gave_up,avg_waiting_time,avg_walk_m,util_mean,util_max,chosen_fids
baseline,0,4,502,259,224,44.6215139442231,8.34137848974261,233.73119810436458,0.7200347222222223,0.7200347222222223,1;7;17;19
baseline,1,4,502,233,254,50.59760956175299,8.06693045542143,228.93696103901624,0.6618055555555555,0.6618055555555555,1;7;17;19
baseline,2,4,502,234,249,49.60159362549801,7.960278647250183,232.07500453385737,0.6515277777777778,0.6515277777777778,1;7;17;19
baseline,3,4,502,171,320,63.745019920318725,7.988894556625888,233.40645876571,0.4801388888888889,0.4801388888888889,1;7;17;19
baseline,4,4,502,202,287,57.171314741035864,7.758982510513903,216.164585137492,0.5767708333333333,0.5767708333333333,1;7;17;19
baseline,5,4,502,218,265,52.788844621513945,6.854427541682002,204.2529680698028,0.6177777777777778,0.6177777777777778,1;7;17;19
baseline,6,4,502,274,209,41.63346613545817,8.236231123082861,226.1908498608226,0.7720486111111111,0.7720486111111111,1;7;17;19
baseline,7,4,502,220,264,52.589641434262944,8.044782977289062,220.71164653761443,0.6240972222222222,0.6240972222222222,1;7;17;19
baseline,8,4,502,264,217,43.22709163346614,8.168822048795318,236.26031347310078,0.7347569444444444,0.7347569444444444,1;7;17;19
baseline,9,4,502,264,215,42.82868525896414,7.8892670341905475,227.8130589103437,0.7304861111111111,0.7304861111111111,1;7;17;19
more_cars_50pct,0,4,757,187,547,72.25891677675033,9.579610293057371,248.3461660422415,0.5237152777777778,0.5237152777777778,1;7;17;19
more_cars_50pct,1,4,757,195,546,72.12681638044914,9.871705987984164,243.61559945267942,0.5447569444444444,0.5447569444444444,1;7;17;19
more_cars_50pct,2,4,757,185,554,73.18361955085865,8.622001501604144,240.56307606005925,0.5319444444444444,0.5319444444444444,1;7;17;19
more_cars_50pct,3,4,757,196,542,71.59841479524438,9.990450973195008,249.75912720726566,0.5779513888888889,0.5779513888888889,1;7;17;19
more_cars_50pct,4,4,757,202,534,70.54161162483487,10.658953600641569,256.3919626555792,0.5701736111111111,0.5701736111111111,1;7;17;19
more_cars_50pct,5,4,757,209,523,69.0885072655218,9.37496533153262,239.01770282643474,0.5943055555555555,0.5943055555555555,1;7;17;19
more_cars_50pct,6,4,757,157,582,76.88243064729194,9.672201769465715,243.83127730873798,0.4548263888888889,0.4548263888888889,1;7;17;19
more_cars_50pct,7,4,757,174,568,75.0330250990753,9.863354347853704,240.76128278922997,0.5054166666666666,0.5054166666666666,1;7;17;19
more_cars_50pct,8,4,757,176,556,73.44782034346103,9.603123623942805,249.9893711358368,0.4961805555555555,0.4961805555555555,1;7;17;19
more_cars_50pct,9,4,757,178,557,73.57992073976222,10.647763176868395,261.1835445169162,0.5102777777777777,0.5102777777777777,1;7;17;19
add_chargers_4,0,4,502,259,224,44.6215139442231,8.34137848974261,233.73119810436458,0.7200347222222223,0.7200347222222223,1;7;17;19
add_chargers_4,1,4,502,233,254,50.59760956175299,8.06693045542143,228.93696103901624,0.6618055555555555,0.6618055555555555,1;7;17;19
add_chargers_4,2,4,502,234,249,49.60159362549801,7.960278647250183,232.07500453385737,0.6515277777777778,0.6515277777777778,1;7;17;19
add_chargers_4,3,4,502,171,320,63.745019920318725,7.988894556625888,233.40645876571,0.4801388888888889,0.4801388888888889,1;7;17;19
add_chargers_4,4,4,502,202,287,57.171314741035864,7.758982510513903,216.164585137492,0.5767708333333333,0.5767708333333333,1;7;17;19
add_chargers_4,5,4,502,218,265,52.788844621513945,6.854427541682002,204.2529680698028,0.6177777777777778,0.6177777777777778,1;7;17;19
add_chargers_4,6,4,502,274,209,41.63346613545817,8.236231123082861,226.1908498608226,0.7720486111111111,0.7720486111111111,1;7;17;19
add_chargers_4,7,4,502,220,264,52.589641434262944,8.044782977289062,220.71164653761443,0.6240972222222222,0.6240972222222222,1;7;17;19
add_chargers_4,8,4,502,264,217,43.22709163346614,8.168822048795318,236.26031347310078,0.7347569444444444,0.7347569444444444,1;7;17;19
add_chargers_4,9,4,502,264,215,42.82868525896414,7.8892670341905475,227.8130589103437,0.7304861111111111,0.7304861111111111,1;7;17;19
add_chargers_6,0,6,502,360,113,22.50996015936255,9.996643811172607,212.25212298375635,0.6721064814814816,0.6721064814814816,1;7;17;19;17;3
add_chargers_6,1,6,502,395,82,16.334661354581673,8.450718313129707,183.51176330175193,0.7379861111111111,0.7379861111111111,1;7;17;19;17;72
add_chargers_6,2,6,502,351,123,24.50199203187251,10.173825583661813,200.94781859720635,0.6685416666666667,0.6685416666666667,1;7;17;19;17;45
add_chargers_6,3,6,502,374,106,21.115537848605577,10.977754064219496,232.70226105133136,0.7114351851851852,0.7114351851851852,1;7;17;19;17;58
add_chargers_6,4,6,502,351,131,26.095617529880478,10.570727990105231,205.16116784804996,0.6677083333333335,0.6677083333333335,1;7;17;19;17;68
add_chargers_6,5,6,502,402,62,12.350597609561753,6.896805604475171,171.11717548006354,0.7528703703703704,0.7528703703703704,1;7;17;19;17;71
add_chargers_6,6,6,502,396,79,15.737051792828685,9.676301032803794,194.65917178662912,0.7456712962962962,0.7456712962962962,1;7;17;19;17;45
add_chargers_6,7,6,502,437,43,8.565737051792828,6.6355906127596125,161.05990155309155,0.8139351851851852,0.8139351851851852,1;7;17;19;17;77
add_chargers_6,8,6,502,399,72,14.342629482071715,9.182117741208316,219.63517745359212,0.7625694444444444,0.7625694444444444,1;7;17;19;17;83
add_chargers_6,9,6,502,387,82,16.334661354581673,8.495389409780298,190.12796328119293,0.7297222222222222,0.7297222222222222,1;7;17;19;17;78
add_chargers_8,0,8,502,466,2,0.398406374501992,6.74082928610849,161.73807123976806,0.6575347222222222,0.6575347222222222,1;7;17;19;17;3;116;34
add_chargers_8,1,8,502,463,10,1.9920318725099602,7.459170043967017,156.92416812252685,0.64828125,0.64828125,1;7;17;19;17;72;46;2
add_chargers_8,2,8,502,449,16,3.187250996015936,9.316853006563337,179.91327678539582,0.6333506944444445,0.6333506944444445,1;7;17;19;17;45;74;117
add_chargers_8,3,8,502,473,10,1.9920318725099602,8.969889297391992,182.4851555138393,0.6766666666666666,0.6766666666666666,1;7;17;19;17;58;90;25
add_chargers_8,4,8,502,470,2,0.398406374501992,5.452163320733062,141.24334450890174,0.6757291666666667,0.6757291666666667,1;7;17;19;17;68;27;18
add_chargers_8,5,8,502,458,0,0.0,3.886304504984843,119.76337675625165,0.6459895833333333,0.6459895833333333,1;7;17;19;17;71;77;49
add_chargers_8,6,8,502,464,5,0.9960159362549801,5.755585195319323,133.6413878762137,0.6575694444444444,0.6575694444444444,1;7;17;19;17;45;34;89
add_chargers_8,7,8,502,462,15,2.9880478087649402,7.242420731282738,151.38702010242613,0.6490104166666667,0.6490104166666667,1;7;17;19;17;77;22;3
add_chargers_8,8,8,502,465,9,1.7928286852589643,8.067282084366513,165.53525240975733,0.6643923611111111,0.6643923611111111,1;7;17;19;17;83;27;18
add_chargers_8,9,8,502,459,4,0.796812749003984,4.774622879993245,126.54444137745206,0.6514756944444444,0.6514756944444444,1;7;17;19;17;78;2;30
add_chargers_10,0,10,502,468,0,0.0,3.7975232822502227,122.30938555738449,0.5277499999999999,0.5277499999999999,1;7;17;19;17;3;116;34;34;51
add_chargers_10,1,10,502,477,0,0.0,2.393079927991013,100.13115187478773,0.5347083333333333,0.5347083333333333,1;7;17;19;17;72;46;2;20;61
add_chargers_10,2,10,502,461,0,0.0,7.664321637517921,157.85578122987252,0.5198333333333334,0.5198333333333334,1;7;17;19;17;45;74;117;84;81
add_chargers_10,3,10,502,483,0,0.0,6.684338542846822,136.5777588235125,0.5502777777777779,0.5502777777777779,1;7;17;19;17;58;90;25;55;34
add_chargers_10,4,10,502,474,0,0.0,3.034514519887787,112.43287726960605,0.5449583333333333,0.5449583333333333,1;7;17;19;17;68;27;18;87;48
add_chargers_10,5,10,502,465,0,0.0,1.9459756179798768,101.02731345146995,0.5252777777777778,0.5252777777777778,1;7;17;19;17;71;77;49;15;21
add_chargers_10,6,10,502,471,0,0.0,3.1249498333378787,95.17344453679672,0.533513888888889,0.533513888888889,1;7;17;19;17;45;34;89;69;10
add_chargers_10,7,10,502,481,0,0.0,2.091723980732393,92.15407083058892,0.54025,0.54025,1;7;17;19;17;77;22;3;66;10
add_chargers_10,8,10,502,473,0,0.0,2.453807467344036,99.7302543237287,0.541138888888889,0.541138888888889,1;7;17;19;17;83;27;18;9;61
add_chargers_10,9,10,502,464,0,0.0,3.8986179071679508,107.49611904070362,0.5263888888888889,0.5263888888888889,1;7;17;19;17;78;2;30;61;83
add_chargers_14,0,14,502,468,0,0.0,2.8453767195575814,114.66377913246659,0.3768253968253968,0.3768253968253968,1;7;17;19;17;3;116;34;34;51;12;81;23;31
add_chargers_14,1,14,502,479,0,0.0,1.2838598664528724,75.10315612601313,0.3831845238095238,0.3831845238095238,1;7;17;19;17;72;46;2;20;61;21;62;49;44
add_chargers_14,2,14,502,467,0,0.0,2.222077773285834,86.68634355211893,0.3763392857142857,0.3763392857142857,1;7;17;19;17;45;74;117;84;81;14;80;70;73
add_chargers_14,3,14,502,485,0,0.0,1.6242918239610704,98.60036676898636,0.3948412698412698,0.3948412698412698,1;7;17;19;17;58;90;25;55;34;21;80;82;23
add_chargers_14,4,14,502,475,0,0.0,1.5207968994661774,73.62734556829803,0.38935515873015875,0.38935515873015875,1;7;17;19;17;68;27;18;87;48;3;63;77;31
add_chargers_14,5,14,502,466,0,0.0,1.27349781269899,87.68570699084346,0.37609126984126984,0.37609126984126984,1;7;17;19;17;71;77;49;15;21;12;35;32;67
add_chargers_14,6,14,502,477,0,0.0,1.1720011981717042,70.14616854367799,0.38572420634920634,0.38572420634920634,1;7;17;19;17;45;34;89;69;10;13;90;18;61
add_chargers_14,7,14,502,481,0,0.0,0.7769716690702412,67.28971488522629,0.3865575396825397,0.3865575396825397,1;7;17;19;17;77;22;3;66;10;67;39;91;15
add_chargers_14,8,14,502,474,0,0.0,1.2083466674319288,80.60460466499848,0.3867162698412698,0.3867162698412698,1;7;17;19;17;83;27;18;9;61;40;13;75;5
add_chargers_14,9,14,502,466,0,0.0,0.9892434077733603,76.49595870290486,0.37740079365079365,0.37740079365079365,1;7;17;19;17;78;2;30;61;83;16;53;69;40
add_chargers_18,0,18,502,468,0,0.0,2.0142430985032065,93.9810195861858,0.29358796296296297,0.29358796296296297,1;7;17;19;17;3;116;34;34;51;12;81;23;31;2;89;91;23
add_chargers_18,1,18,502,479,0,0.0,1.0058644922536462,71.11467690577102,0.2978086419753086,0.2978086419753086,1;7;17;19;17;72;46;2;20;61;21;62;49;44;74;56;48;30
add_chargers_18,2,18,502,467,0,0.0,1.2715156356150514,71.00518656328867,0.29274691358024696,0.29274691358024696,1;7;17;19;17;45;74;117;84;81;14;80;70;73;90;68;56;4
add_chargers_18,3,18,502,484,0,0.0,1.1463217499490141,91.29930911286819,0.30636574074074074,0.30636574074074074,1;7;17;19;17;58;90;25;55;34;21;80;82;23;32;29;74;72
add_chargers_18,4,18,502,475,0,0.0,1.298626219773662,69.36004604358853,0.303016975308642,0.303016975308642,1;7;17;19;17;68;27;18;87;48;3;63;77;31;26;14;36;71
add_chargers_18,5,18,502,466,0,0.0,0.36909871244635195,56.68336356411149,0.29257716049382715,0.29257716049382715,1;7;17;19;17;71;77;49;15;21;12;35;32;67;14;65;9;3
add_chargers_18,6,18,502,477,0,0.0,0.7763692844934397,51.383688801344995,0.2996682098765432,0.2996682098765432,1;7;17;19;17;45;34;89;69;10;13;90;18;61;60;73;14;27
add_chargers_18,7,18,502,482,0,0.0,0.5767634854771784,52.08113092543344,0.3010956790123457,0.3010956790123457,1;7;17;19;17;77;22;3;66;10;67;39;91;15;4;32;42;15
add_chargers_18,8,18,502,473,0,0.0,0.9845954798413057,73.91280455001939,0.30059413580246913,0.30059413580246913,1;7;17;19;17;83;27;18;9;61;40;13;75;5;30;36;85;12
