car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,116,,arrived,,arrived,34.28415568139481,,,
Car 0,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),34.28415568139481,,0.0,
Car 1,,,,14,,arrived,,arrived,85.73334328050687,,,
Car 1,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),85.73334328050687,,0.0,
Car 0,58.0,308440,0,,,done,,done charging,92.28415568139481,,,174.58820199788977
Car 2,,,,11,,arrived,,arrived,154.68547806806822,,,
Car 2,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),154.68547806806822,,0.0,
Car 1,81.0,308440,0,,,done,,done charging,166.73334328050686,,,132.81305867629422
Car 3,,,,23,,arrived,,arrived,192.3658939283701,,,
Car 3,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),192.3658939283701,,0.0,
Car 2,106.0,308440,0,,,done,,done charging,260.6854780680682,,,247.88833037687752
Car 3,96.0,308702,1,,,done,,done charging,288.3658939283701,,,224.18422580958983
Car 4,,,,117,,arrived,,arrived,288.7992750814392,,,
Car 4,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),288.7992750814392,,0.0,
Car 5,,,,8,,arrived,,arrived,309.6137733911292,,,
Car 5,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),309.6137733911292,,0.0,
Car 6,,,,45,,arrived,,arrived,339.2083520340706,,,
Car 6,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",344.2083520340706,3,,
Car 6,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),344.47197821563464,,5.0,
Car 7,,,,68,,arrived,,arrived,349.4153323520067,,,
Car 7,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),349.4153323520067,,0.0,
Car 4,69.0,307904,2,,,done,,done charging,357.7992750814392,,,194.49240024093407
Car 8,,,,5,,arrived,,arrived,362.67338294702597,,,
Car 8,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),362.67338294702597,,0.0,
Car 9,,,,91,,arrived,,arrived,374.999800601184,,,
Car 9,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),374.999800601184,,0.0,
Car 5,68.0,308702,1,,,done,,done charging,377.6137733911292,,,403.9345218681997
Car 10,,,,73,,arrived,,arrived,379.6663686973256,,,
Car 10,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),379.6663686973256,,0.0,
Car 11,,,,66,,arrived,,arrived,391.2401615783955,,,
Car 11,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),391.2401615783955,,0.0,
Car 7,57.0,308440,0,,,done,,done charging,406.4153323520067,,,46.13370440893304
Car 12,,,,19,,arrived,,arrived,411.6096622371775,,,
Car 12,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),411.6096622371775,,0.0,
Car 6,69.0,307905,3,,,done,,done charging,413.47197821563464,,,315.0916876381338
Car 13,,,,9,,arrived,,arrived,417.1690145487547,,,
Car 13,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),417.1690145487547,,0.0,
Car 14,,,,19,,arrived,,arrived,419.7934195523673,,,
Car 14,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",424.7934195523673,1,,
Car 15,,,,4,,arrived,,arrived,427.97868868273275,,,
Car 14,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 2 (fid=307904)",432.90387217976576,2,,
Car 15,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",432.97868868273275,0,,
Car 16,,,,7,,arrived,,arrived,437.0170930744029,,,
Car 14,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),439.39165155791113,,10.0,
Car 15,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",441.0891413101312,2,,
Car 16,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",442.0170930744029,2,,
Car 17,,,,77,,arrived,,arrived,442.8963591551471,,,
Car 8,84.0,308702,1,,,done,,done charging,446.67338294702597,,,296.14094267595226
Car 18,,,,37,,arrived,,arrived,447.4098690634983,,,
Car 18,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),447.4098690634983,,0.0,
Car 17,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",447.8963591551471,2,,
Car 15,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",450.4256288090245,3,,
Car 16,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",450.5232260890343,3,,
Car 15,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),450.68925499058855,,15.0,
Car 16,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",455.7868522705984,0,,
Car 19,,,,48,,arrived,,arrived,456.1914366580911,,,
Car 17,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",456.4024921697785,3,,
