car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 81,,,,31,,arrived,,arrived,8.0,,,
Car 81,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),8.0,,0.0,
Car 239,,,,17,,arrived,,arrived,13.0,,,
Car 239,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),13.0,,0.0,
Car 53,,,,16,,arrived,,arrived,15.0,,,
Car 53,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),15.0,,0.0,
Car 165,,,,4,,arrived,,arrived,29.0,,,
Car 165,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),29.0,,0.0,
Car 157,,,,77,,arrived,,arrived,31.0,,,
Car 157,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),31.0,,0.0,
Car 47,,,,77,,arrived,,arrived,49.0,,,
Car 91,,,,10,,arrived,,arrived,49.0,,,
Car 91,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),49.0,,0.0,
Car 189,,,,73,,arrived,,arrived,50.0,,,
Car 189,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),50.0,,0.0,
Car 47,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",54.0,3,,
Car 47,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),56.224325873734955,,5.0,
Car 161,,,,2,,arrived,,arrived,62.0,,,
Car 161,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),62.0,,0.0,
Car 187,,,,46,,arrived,,arrived,67.0,,,
Car 187,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),67.0,,0.0,
Car 13,,,,4,,arrived,,arrived,81.0,,,
Car 157,50.0,60,6,,,done,,done charging,81.0,,,43.698525833242314
Car 13,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),81.0,,0.0,
Car 119,,,,30,,arrived,,arrived,92.0,,,
Car 119,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",97.0,1,,
Car 215,,,,55,,arrived,,arrived,99.0,,,
Car 119,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),99.22134419256946,,5.0,
Car 215,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",104.0,1,,
Car 68,,,,52,,arrived,,arrived,106.0,,,
Car 68,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),106.0,,0.0,
Car 91,58.0,73,5,,,done,,done charging,107.0,,,81.59070857031476
Car 215,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",111.22134419256946,8,,
Car 215,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),111.78550538131701,,10.0,
Car 165,83.0,60,6,,,done,,done charging,112.0,,,59.80497675779154
Car 145,,,,79,,arrived,,arrived,113.0,,,
Car 239,103.0,308440,0,,,done,,done charging,116.0,,,111.30546536896655
Car 145,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",118.0,2,,
Car 145,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),118.03316318654132,,5.0,
Car 192,,,,73,,arrived,,arrived,119.0,,,
Car 192,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),119.0,,0.0,
Car 53,107.0,308440,0,,,done,,done charging,122.0,,,120.70032154058093
Car 174,,,,60,,arrived,,arrived,123.0,,,
Car 174,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),123.0,,0.0,
Car 81,116.0,31,8,,,done,,done charging,124.0,,,0.0
Car 161,64.0,308108,4,,,done,,done charging,126.0,,,50.608860973177485
Car 121,,,,65,,arrived,,arrived,137.0,,,
Car 121,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",142.0,1,,
Car 30,,,,73,,arrived,,arrived,145.0,,,
Car 226,,,,77,,arrived,,arrived,149.0,,,
Car 121,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",149.33625344304474,7,,
Car 121,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),149.95037471539953,,10.0,
