year,seed,input_ev_cars,existing_chargers_before,new_chargers_added,minimum_chargers,selected_locations,served_demand,served_rate,unmet_demand,unmet_rate,average_waiting_time,average_walking_distance,average_utilization,max_utilization,walking_coverage_rate_info,optimization_unmet_rate_info,simulation_kpis_feasible,optimization_feasible
2026,9,159,5,3,8,308440;308702;307904;307905;308108;62;37;30,150,94.34,6,3.77,8.18,260.39,0.6,0.71,99.53,0.0,True,True
2027,9,217,8,2,10,308440;308702;307904;307905;308108;62;37;30;8;4,199,91.71,13,5.99,10.02,240.38,0.61,0.71,99.53,0.0,True,True
2028,9,280,10,2,12,308440;308702;307904;307905;308108;62;37;30;8;4;25;90,261,93.21,15,5.36,13.58,259.04,0.66,0.8,99.53,0.0,True,True
2029,9,359,12,2,14,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118,319,88.86,31,8.64,19.06,294.7,0.69,0.84,100.0,0.0,True,True
2030,9,449,14,3,17,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40,405,90.2,33,7.35,22.12,269.13,0.71,0.84,100.0,0.0,True,True
2031,9,547,17,3,20,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38,490,89.58,37,6.76,27.16,273.35,0.72,0.82,100.0,0.0,True,True
2032,9,647,20,2,22,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65,540,83.46,62,9.58,31.12,279.8,0.72,0.85,100.0,3.69,True,True
2033,9,746,22,4,26,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10,642,86.06,58,7.77,35.13,267.76,0.73,0.86,100.0,0.56,True,True
2034,9,840,26,2,28,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1,693,82.5,78,9.29,39.27,270.31,0.73,0.86,100.0,4.62,True,True
2035,9,925,28,2,30,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1;3;54,750,81.08,90,9.73,42.86,275.2,0.74,0.91,100.0,6.97,True,True
2026,0,159,5,3,8,308440;308702;307904;307905;308108;62;37;30,142,89.31,13,8.18,7.59,256.73,0.57,0.72,99.53,0.0,True,True
2027,0,217,8,2,10,308440;308702;307904;307905;308108;62;37;30;8;4,196,90.32,17,7.83,10.92,263.5,0.62,0.74,99.53,0.0,True,True
2028,0,280,10,2,12,308440;308702;307904;307905;308108;62;37;30;8;4;25;90,257,91.79,19,6.79,14.42,277.45,0.66,0.83,99.53,0.0,True,True
2029,0,359,12,2,14,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118,324,90.25,27,7.52,18.81,293.33,0.69,0.81,100.0,0.0,True,True
2030,0,449,14,3,17,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40,405,90.2,28,6.24,24.29,294.39,0.71,0.84,100.0,0.0,True,True
2031,0,547,17,3,20,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38,485,88.67,39,7.13,26.45,271.42,0.71,0.85,100.0,0.0,True,True
2032,0,647,20,2,22,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65,549,84.85,64,9.89,31.45,284.48,0.73,0.9,100.0,3.69,True,True
2033,0,746,22,4,26,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10,659,88.34,44,5.9,34.9,272.24,0.73,0.89,100.0,0.56,True,True
2034,0,840,26,2,28,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1,714,85.0,64,7.62,40.28,278.54,0.73,0.88,100.0,4.62,True,True
2035,0,925,28,2,30,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1;3;54,763,82.49,82,8.86,41.45,272.49,0.74,0.86,100.0,6.97,True,True
2026,6,159,5,3,8,308440;308702;307904;307905;308108;62;37;30,147,92.45,9,5.66,7.05,254.5,0.6,0.74,99.53,0.0,True,True
2027,6,217,8,2,10,308440;308702;307904;307905;308108;62;37;30;8;4,201,92.63,14,6.45,11.12,270.53,0.63,0.75,99.53,0.0,True,True
2028,6,280,10,2,12,308440;308702;307904;307905;308108;62;37;30;8;4;25;90,256,91.43,17,6.07,13.03,267.84,0.65,0.84,99.53,0.0,True,True
2029,6,359,12,2,14,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118,322,89.69,30,8.36,17.65,286.81,0.69,0.82,100.0,0.0,True,True
2030,6,449,14,3,17,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40,403,89.76,30,6.68,21.48,273.95,0.7,0.79,100.0,0.0,True,True
2031,6,547,17,3,20,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38,489,89.4,35,6.4,26.72,279.47,0.71,0.81,100.0,0.0,True,True
2032,6,647,20,2,22,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65,556,85.94,61,9.43,31.01,288.03,0.74,0.82,100.0,3.69,True,True
2033,6,746,22,4,26,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10,660,88.47,40,5.36,34.08,272.48,0.73,0.87,100.0,0.56,True,True
2034,6,840,26,2,28,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1,714,85.0,62,7.38,38.88,281.91,0.73,0.84,100.0,4.62,True,True
2035,6,925,28,2,30,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1;3;54,770,83.24,72,7.78,41.5,274.12,0.74,0.85,100.0,6.97,True,True
2026,7,159,5,3,8,308440;308702;307904;307905;308108;62;37;30,145,91.19,10,6.29,8.57,269.09,0.58,0.69,99.53,0.0,True,True
