year,average_input_ev_cars,average_existing_chargers_before,average_new_chargers_added,average_minimum_chargers,selected_locations,average_served_rate,average_unmet_rate,average_served_demand,average_unmet_demand,average_walking_distance,average_utilization,simulation_kpis_feasible,optimization_feasible
2026,159.0,5.0,3.0,8.0,308440;308702;307904;307905;308108;62;37;30,91.13,6.54,144.9,10.4,257.44,0.58,True,True
2027,217.0,8.0,2.0,10.0,308440;308702;307904;307905;308108;62;37;30;8;4,90.74,7.65,196.9,16.6,265.05,0.62,True,True
2028,280.0,10.0,2.0,12.0,308440;308702;307904;307905;308108;62;37;30;8;4;25;90,91.18,6.79,255.3,19.0,279.12,0.66,True,True
2029,359.0,12.0,2.1,14.1,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118,89.39,8.22,320.9,29.5,292.46,0.69,True,True
2030,449.0,14.1,2.9,17.0,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40,89.22,7.59,400.6,34.1,284.0,0.71,True,True
2031,547.0,17.0,3.1,20.1,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38,88.21,7.62,482.5,41.7,279.38,0.71,True,True
2032,647.0,20.1,2.5,22.6,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11,85.66,8.87,554.2,57.4,277.11,0.73,True,True
2033,746.0,22.6,3.4,26.0,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10,86.33,7.36,644.0,54.9,270.64,0.73,True,True
2034,840.0,26.0,2.1,28.1,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1,83.65,8.75,702.7,73.5,276.49,0.73,True,True
2035,925.0,28.1,2.4, ,308440;308702;307904;307905;308108;62;37;30;8;4;25;90;51;118;57;5;40;44;35;38;61;65;11;66;77;10;60;1;3;54,82.96,8.19,767.4,75.8,271.55,0.73,True,True
