car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 92,,,,7,,arrived,,arrived,1.0,,,
Car 92,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),1.0,,0.0,
Car 205,,,,4,,arrived,,arrived,5.0,,,
Car 205,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),5.0,,0.0,
Car 142,,,,46,,arrived,,arrived,11.0,,,
Car 142,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),11.0,,0.0,
Car 43,,,,27,,arrived,,arrived,26.0,,,
Car 43,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),26.0,,0.0,
Car 136,,,,4,,arrived,,arrived,43.0,,,
Car 136,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),43.0,,0.0,
Car 119,,,,74,,arrived,,arrived,55.0,,,
Car 205,50.0,73,5,,,done,,done charging,55.0,,,113.03943791881676
Car 119,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),55.0,,0.0,
Car 107,,,,40,,arrived,,arrived,61.0,,,
Car 107,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),61.0,,0.0,
Car 56,,,,29,,arrived,,arrived,65.0,,,
Car 157,,,,56,,arrived,,arrived,65.0,,,
Car 56,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),65.0,,0.0,
Car 157,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),65.0,,0.0,
Car 204,,,,54,,arrived,,arrived,67.0,,,
Car 204,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),67.0,,0.0,
Car 97,,,,15,,arrived,,arrived,69.0,,,
Car 94,,,,1,,arrived,,arrived,70.0,,,
Car 94,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),70.0,,0.0,
Car 97,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",74.0,3,,
Car 130,,,,16,,arrived,,arrived,77.0,,,
Car 97,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",81.8588498683722,2,,
Car 130,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 6 (fid=60)",82.0,6,,
Car 97,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 6 (fid=60)",86.89201305491352,6,,
Car 87,,,,53,,arrived,,arrived,88.0,,,
Car 188,,,,76,,arrived,,arrived,88.0,,,
Car 87,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),88.0,,0.0,
Car 130,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",90.25969204728618,5,,
Car 170,,,,1,,arrived,,arrived,92.0,,,
Car 130,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),92.52977345225683,,10.0,
Car 188,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",93.0,2,,
Car 97,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",94.13698393566484,1,,
Car 52,,,,14,,arrived,,arrived,96.0,,,
Car 164,,,,77,,arrived,,arrived,96.0,,,
Car 170,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",97.0,2,,
Car 188,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",99.67826482304116,3,,
Car 142,90.0,308702,1,,,done,,done charging,101.0,,,58.41695935261943
Car 52,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",101.0,1,,
Car 164,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 3 (fid=307905)",101.0,3,,
Car 97,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),101.0,,23.036677575680713,
Car 170,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",102.03316318654132,4,,
Car 188,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 6 (fid=60)",104.71142800958248,6,,
Car 52,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=73)",108.22134419256946,5,,
Car 164,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",108.22432587373495,2,,
Car 170,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 6 (fid=60)",108.71142800958248,6,,
Car 124,,,,29,,arrived,,arrived,109.0,,,
Car 124,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),109.0,,0.0,
Car 52,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),110.5575976356142,,10.0,
Car 92,110.0,308108,4,,,done,,done charging,111.0,,,55.70976389286317
Car 188,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 0 (fid=308440)",111.93575388331743,0,,
Car 164,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",113.25748906027627,4,,
Car 164,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),114.93575388331743,,15.0,
Car 136,72.0,60,6,,,done,,done charging,115.0,,,59.80497675779154
Car 170,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),115.0,,18.281764971810944,
Car 107,56.0,60,6,,,done,,done charging,117.0,,,83.60540020832796
Car 94,47.0,307905,3,,,done,,done charging,117.0,,,30.92859861038139
Car 188,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=73)",120.19544593060361,5,,
Car 119,67.0,307904,2,,,done,,done charging,122.0,,,84.63961631527718
Car 147,,,,16,,arrived,,arrived,125.0,,,
Car 67,,,,44,,arrived,,arrived,126.0,,,
Car 181,,,,69,,arrived,,arrived,126.0,,,
Car 188,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",128.46152414964465,1,,
Car 98,,,,74,,arrived,,arrived,130.0,,,
Car 147,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 6 (fid=60)",130.0,6,,
Car 98,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),130.0,,0.0,
Car 67,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",131.0,7,,
Car 181,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",131.0,1,,
Car 147,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),133.2596920472862,,5.0,
Car 188,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",135.79777759268939,7,,
Car 56,71.0,30,7,,,done,,done charging,136.0,,,12.865824886131326
Car 67,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),136.0,,9.385878727645206,
Car 181,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",138.22134419256946,7,,
Car 188,,,,,,gave_up,7,"no alternate charger available, gave up",141.41189886504418,,,
Car 130,49.0,73,5,,,done,,done charging,141.52977345225685,,,170.254181141013
Car 181,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 3 (fid=307905)",143.83546546492425,3,,
Car 43,120.0,308440,0,,,done,,done charging,146.0,,,55.628869744032556
Car 172,,,,18,,arrived,,arrived,147.0,,,
Car 172,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),147.0,,0.0,
Car 181,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),148.9753100587344,,15.0,
Car 160,,,,4,,arrived,,arrived,151.0,,,
Car 204,84.0,308702,1,,,done,,done charging,151.0,,,118.85907491646913
Car 160,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),151.0,,0.0,
Car 87,67.0,308108,4,,,done,,done charging,155.0,,,117.52868882955782
Car 27,,,,40,,arrived,,arrived,157.0,,,
Car 124,51.0,30,7,,,done,,done charging,160.0,,,12.865824886131326
Car 27,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",162.0,5,,
Car 60,,,,58,,arrived,,arrived,166.0,,,
Car 60,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),166.0,,0.0,
Car 23,,,,61,,arrived,,arrived,169.0,,,
Car 27,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 3 (fid=307905)",169.27008140497065,3,,
Car 164,55.0,308108,4,,,done,,done charging,169.93575388331743,,,207.3115745948506
Car 52,61.0,73,5,,,done,,done charging,171.5575976356142,,,182.70488554496308
Car 23,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",174.0,5,,
Car 70,,,,14,,arrived,,arrived,175.0,,,
Car 23,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),176.27008140497065,,5.0,
Car 157,113.0,308440,0,,,done,,done charging,178.0,,,62.86353987009791
Car 70,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),178.0,,3.0,
Car 27,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",178.32856459821738,2,,
Car 27,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",183.3617277847587,4,,
Car 27,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),185.03999260779986,,20.0,
Car 48,,,,74,,arrived,,arrived,187.0,,,
Car 176,,,,1,,arrived,,arrived,190.0,,,
Car 48,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",192.0,3,,
Car 115,,,,9,,arrived,,arrived,195.0,,,
Car 176,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 2 (fid=307904)",195.0,2,,
Car 97,96.0,308702,1,,,done,,done charging,197.0,,,209.30778758800568
Car 48,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 4 (fid=308108)",197.03316318654132,4,,
Car 115,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",200.0,6,,
Car 176,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 4 (fid=308108)",200.03316318654132,4,,
Car 48,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 6 (fid=60)",203.74028840340156,6,,
Car 176,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 6 (fid=60)",206.71142800958248,6,,
Car 115,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",207.27008140497065,1,,
Car 160,60.0,73,5,,,done,,done charging,211.0,,,113.03943791881676
Car 115,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),211.0964198936251,,10.0,
Car 48,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 0 (fid=308440)",211.74709542200816,0,,
Car 126,,,,87,,arrived,,arrived,213.0,,,
Car 183,,,,32,,arrived,,arrived,213.0,,,
Car 170,98.0,60,6,,,done,,done charging,213.0,,,162.14671048157606
Car 183,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),213.0,,0.0,
Car 176,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),213.0,,18.28176497181093,
Car 126,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",218.0,2,,
Car 48,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=73)",220.00678746929435,5,,
Car 48,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),223.2728656883354,,25.0,
Car 126,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",224.67826482304116,3,,
Car 60,61.0,308108,4,,,done,,done charging,227.0,,,66.81565508921547
Car 126,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 6 (fid=60)",229.71142800958248,6,,
Car 67,94.0,30,7,,,done,,done charging,230.0,,,56.68766774176159
Car 112,,,,64,,arrived,,arrived,233.0,,,
Car 112,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),233.0,,0.0,
Car 126,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 0 (fid=308440)",236.93575388331743,0,,
Car 98,108.0,307904,2,,,done,,done charging,238.0,,,84.63961631527718
Car 172,91.0,308440,0,,,done,,done charging,238.0,,,63.80717522351349
Car 34,,,,15,,arrived,,arrived,239.0,,,
Car 91,,,,54,,arrived,,arrived,239.0,,,
Car 34,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),239.0,,0.0,
Car 91,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),239.0,,0.0,
Car 27,56.0,308108,4,,,done,,done charging,241.03999260779986,,,265.2782469728414
Car 70,64.0,308440,0,,,done,,done charging,242.0,,,95.26950640156508
Car 126,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),242.0,,21.804554069396374,
Car 147,112.0,60,6,,,done,,done charging,245.2596920472862,,,158.9030009156657
Car 12,,,,57,,arrived,,arrived,247.0,,,
Car 57,,,,30,,arrived,,arrived,249.0,,,
Car 12,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",252.0,1,,
Car 57,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",254.0,1,,
Car 12,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",259.22134419256946,7,,
Car 12,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),259.83546546492425,,10.0,
Car 57,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 6 (fid=60)",261.22134419256946,6,,
Car 181,115.0,307905,3,,,done,,done charging,263.9753100587344,,,232.45236664101415
Car 57,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),265.0476826812239,,10.0,
Car 176,55.0,60,6,,,done,,done charging,268.0,,,162.14671048157606
Car 185,,,,60,,arrived,,arrived,272.0,,,
Car 185,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),272.0,,0.0,
Car 183,62.0,30,7,,,done,,done charging,275.0,,,61.54241309862429
Car 23,100.0,73,5,,,done,,done charging,276.27008140497065,,,197.76997644993295
Car 182,,,,45,,arrived,,arrived,285.0,,,
Car 169,,,,32,,arrived,,arrived,287.0,,,
Car 182,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",290.0,5,,
Car 169,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",292.0,1,,
Car 182,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),292.27008140497065,,5.0,
Car 34,54.0,308440,0,,,done,,done charging,293.0,,,94.93651978033478
Car 169,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 3 (fid=307905)",299.22134419256946,3,,
Car 169,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),303.8027853296818,,10.0,
Car 59,,,,65,,arrived,,arrived,305.0,,,
Car 48,84.0,73,5,,,done,,done charging,307.2728656883354,,,425.11531224830384
Car 59,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),307.2728656883354,,2.2728656883354006,
Car 62,,,,20,,arrived,,arrived,315.0,,,
Car 62,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),315.0,,0.0,
Car 46,,,,54,,arrived,,arrived,319.0,,,
Car 57,55.0,60,6,,,done,,done charging,320.0476826812239,,,209.98135141244808
Car 55,,,,73,,arrived,,arrived,322.0,,,
Car 115,111.0,308702,1,,,done,,done charging,322.0964198936251,,,286.6087975342251
Car 46,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),322.0964198936251,,3.096419893625125,
Car 91,84.0,308702,1,,,done,,done charging,323.0,,,118.85907491646913
Car 32,,,,16,,arrived,,arrived,324.0,,,
Car 161,,,,12,,arrived,,arrived,325.0,,,
Car 161,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),325.0,,0.0,
Car 55,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",327.0,6,,
Car 32,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 6 (fid=60)",329.0,6,,
Car 55,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),329.27008140497065,,5.0,
Car 140,,,,11,,arrived,,arrived,335.0,,,
Car 32,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",337.2596920472862,5,,
Car 110,,,,62,,arrived,,arrived,339.0,,,
Car 114,,,,8,,arrived,,arrived,340.0,,,
Car 140,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",340.0,5,,
Car 112,108.0,308108,4,,,done,,done charging,341.0,,,103.76990676010192
Car 7,,,,38,,arrived,,arrived,342.0,,,
Car 12,84.0,30,7,,,done,,done charging,343.83546546492425,,,162.81446159969983
Car 64,,,,14,,arrived,,arrived,344.0,,,
Car 110,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 5 (fid=73)",344.0,5,,
Car 32,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",344.52977345225685,1,,
Car 11,,,,1,,arrived,,arrived,345.0,,,
Car 114,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",345.0,6,,
Car 182,53.0,73,5,,,done,,done charging,345.27008140497065,,,140.62439169646493
Car 7,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),345.27008140497065,,3.2700814049706537,
Car 32,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),346.86602689530156,,15.0,
Car 140,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 0 (fid=308440)",347.27008140497065,0,,
Car 154,,,,73,,arrived,,arrived,348.0,,,
Car 193,,,,115,,arrived,,arrived,349.0,,,
Car 64,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",349.0,1,,
Car 126,108.0,308440,0,,,done,,done charging,350.0,,,444.4908199198022
