car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,82,,arrived,,arrived,0.027102893104260506,,,
Car 0,,86,9,,,start_charge,,starting to charge at Charger 9 (fid=86),0.027102893104260506,,0.0,
Car 1,,,,75,,arrived,,arrived,15.697288976679475,,,
Car 1,,77,23,,,start_charge,,starting to charge at Charger 23 (fid=77),15.697288976679475,,0.0,
Car 2,,,,1,,arrived,,arrived,28.2152554238667,,,
Car 2,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),28.2152554238667,,0.0,
Car 3,,,,50,,arrived,,arrived,29.10207767585672,,,
Car 3,,40,11,,,start_charge,,starting to charge at Charger 11 (fid=40),29.10207767585672,,0.0,
Car 4,,,,36,,arrived,,arrived,39.769113773026056,,,
Car 4,,35,17,,,start_charge,,starting to charge at Charger 17 (fid=35),39.769113773026056,,0.0,
Car 5,,,,30,,arrived,,arrived,45.58383810587358,,,
Car 5,,18,24,,,start_charge,,starting to charge at Charger 24 (fid=18),45.58383810587358,,0.0,
Car 6,,,,73,,arrived,,arrived,47.60040502569978,,,
Car 6,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),47.60040502569978,,0.0,
Car 7,,,,21,,arrived,,arrived,49.31724253918361,,,
Car 7,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",54.31724253918361,3,,
Car 7,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),54.58086872074768,,5.0,
Car 8,,,,68,,arrived,,arrived,76.36188514031824,,,
Car 8,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),76.36188514031824,,0.0,
Car 2,49.0,307904,2,,,done,,done charging,77.2152554238667,,,99.11480165800255
Car 9,,,,58,,arrived,,arrived,82.38962232443049,,,
Car 9,,64,18,,,start_charge,,starting to charge at Charger 18 (fid=64),82.38962232443049,,0.0,
Car 10,,,,66,,arrived,,arrived,84.8403864699182,,,
