year,seed,input_ev_cars,existing_chargers_before,new_chargers_added,minimum_chargers,selected_locations,served_demand,served_rate,unmet_demand,unmet_rate,average_waiting_time,average_walking_distance,average_utilization,max_utilization,walking_coverage_rate_info,optimization_unmet_rate_info,simulation_kpis_feasible,optimization_feasible
2026,6,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,147,92.45,9,5.66,6.61,249.8,0.59,0.69,100.0,0.0,True,True
2027,6,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,200,92.17,15,6.91,11.69,283.65,0.62,0.77,100.0,0.0,True,True
2028,6,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,255,91.07,19,6.79,14.68,290.35,0.64,0.84,100.0,0.0,True,True
2029,6,359,12,2,14,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5,317,88.3,34,9.47,18.88,305.31,0.69,0.85,100.0,0.0,True,True
2030,6,449,14,3,17,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8,401,89.31,34,7.57,23.35,292.61,0.71,0.88,100.0,0.0,True,True
2031,6,547,17,3,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37,484,88.48,48,8.78,25.52,270.03,0.71,0.86,100.0,0.0,True,True
2032,6,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45,570,88.1,46,7.11,32.78,282.79,0.72,0.88,100.0,0.0,True,True
2033,6,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26,657,88.07,52,6.97,34.13,267.23,0.73,0.85,100.0,0.56,True,True
2034,6,840,26,2,28,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53,718,85.48,69,8.21,39.6,282.32,0.74,0.88,100.0,4.62,True,True
2035,6,925,28,2,30,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;28;17,771,83.35,81,8.76,43.45,286.32,0.73,0.87,100.0,6.97,True,True
2026,7,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,145,91.19,10,6.29,9.47,287.34,0.58,0.71,100.0,0.0,True,True
2027,7,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,199,91.71,15,6.91,13.02,303.0,0.62,0.78,100.0,0.0,True,True
2028,7,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,252,90.0,21,7.5,14.19,282.07,0.64,0.81,100.0,0.0,True,True
2029,7,359,12,2,14,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5,314,87.47,31,8.64,19.14,296.82,0.68,0.83,100.0,0.0,True,True
2030,7,449,14,4,18,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;64,412,91.76,26,5.79,23.66,287.84,0.68,0.81,100.0,0.0,True,True
2031,7,547,18,2,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;64;35;37,480,87.75,46,8.41,27.9,285.06,0.7,0.82,100.0,0.0,True,True
2032,7,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;64;35;37;4;9;45,564,87.17,50,7.73,33.4,283.6,0.72,0.86,100.0,0.0,True,True
2033,7,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;64;35;37;4;9;45;77;18;26,656,87.94,54,7.24,33.02,255.18,0.73,0.85,100.0,0.56,True,True
2034,7,840,26,2,28,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;64;35;37;4;9;45;77;18;26;27;53,706,84.05,73,8.69,40.77,281.57,0.73,0.86,100.0,4.62,True,True
2035,7,925,28,2,30,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;64;35;37;4;9;45;77;18;26;27;53;28;17,771,83.35,86,9.3,43.51,282.67,0.74,0.87,100.0,6.97,True,True
2026,0,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,141,88.68,14,8.81,7.49,251.96,0.56,0.69,100.0,0.0,True,True
2027,0,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,193,88.94,20,9.22,12.19,292.0,0.61,0.74,100.0,0.0,True,True
2028,0,280,10,1,11,308440;308702;307904;307905;308108;73;60;31;32;86;30,249,88.93,27,9.64,17.36,320.31,0.69,0.83,100.0,0.0,True,True
2029,0,359,11,3,14,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5,322,89.69,31,8.64,19.71,300.26,0.7,0.84,100.0,0.0,True,True
2030,0,449,14,3,17,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5;34;57;8,399,88.86,39,8.69,23.61,295.62,0.7,0.84,100.0,0.0,True,True
2031,0,547,17,3,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5;34;57;8;35;64;37,483,88.3,43,7.86,29.39,288.85,0.71,0.84,100.0,0.0,True,True
2032,0,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5;34;57;8;35;64;37;4;9;45,568,87.79,50,7.73,31.62,271.2,0.72,0.87,100.0,0.0,True,True
2033,0,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5;34;57;8;35;64;37;4;9;45;77;18;26,649,87.0,53,7.1,35.18,267.94,0.72,0.86,100.0,0.56,True,True
2034,0,840,26,2,28,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53,710,84.52,66,7.86,40.94,282.3,0.73,0.88,100.0,4.62,True,True
2035,0,925,28,3,31,308440;308702;307904;307905;308108;73;60;31;32;86;30;33;40;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;28;17;12,778,84.11,76,8.22,43.33,280.21,0.73,0.87,100.0,3.76,True,True
2026,4,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,146,91.82,9,5.66,7.47,264.51,0.58,0.68,100.0,0.0,True,True
2027,4,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,195,89.86,20,9.22,12.0,292.43,0.62,0.76,100.0,0.0,True,True
2028,4,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,250,89.29,25,8.93,13.11,272.58,0.65,0.8,100.0,0.0,True,True
2029,4,359,12,2,14,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5,320,89.14,34,9.47,21.14,324.22,0.71,0.86,100.0,0.0,True,True
2030,4,449,14,3,17,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8,394,87.75,37,8.24,25.4,307.18,0.7,0.86,100.0,0.0,True,True
2031,4,547,17,3,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37,478,87.39,52,9.51,27.29,285.8,0.71,0.82,100.0,0.0,True,True
2032,4,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45,550,85.01,62,9.58,30.25,271.25,0.71,0.85,100.0,0.0,True,True
2033,4,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26,641,85.92,67,8.98,36.7,273.22,0.73,0.87,100.0,0.56,True,True
2034,4,840,26,3,29,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;17,710,84.52,63,7.5,40.52,274.98,0.72,0.85,100.0,1.09,True,True
2035,4,925,29,2,31,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;17;28;12,771,83.35,87,9.41,43.15,277.42,0.74,0.87,100.0,3.76,True,True
2026,9,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,149,93.71,7,4.4,8.09,270.07,0.59,0.7,100.0,0.0,True,True
2027,9,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,199,91.71,13,5.99,12.73,285.5,0.61,0.76,100.0,0.0,True,True
2028,9,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,255,91.07,21,7.5,13.78,273.85,0.65,0.8,100.0,0.0,True,True
2029,9,359,12,2,14,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5,320,89.14,34,9.47,19.19,290.67,0.7,0.83,100.0,0.0,True,True
2030,9,449,14,3,17,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8,394,87.75,43,9.58,23.74,287.0,0.7,0.85,100.0,0.0,True,True
2031,9,547,17,3,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37,479,87.57,51,9.32,27.85,278.75,0.7,0.84,100.0,0.0,True,True
2032,9,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45,561,86.71,54,8.35,33.35,283.67,0.72,0.84,100.0,0.0,True,True
2033,9,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26,636,85.25,64,8.58,38.72,283.42,0.72,0.88,100.0,0.56,True,True
2034,9,840,26,3,29,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;17,720,85.71,67,7.98,40.61,277.0,0.73,0.91,100.0,1.09,True,True
2035,9,925,29,2,31,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;34;57;8;35;64;37;4;9;45;77;18;26;27;53;17;28;12,767,82.92,83,8.97,42.6,274.41,0.73,0.9,100.0,3.76,True,True
2026,3,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,144,90.57,11,6.92,8.31,265.74,0.58,0.77,100.0,0.0,True,True
2027,3,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,197,90.78,15,6.91,13.36,298.44,0.62,0.84,100.0,0.0,True,True
2028,3,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,250,89.29,26,9.29,13.36,264.99,0.65,0.82,100.0,0.0,True,True
2029,3,359,12,3,15,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57,329,91.64,23,6.41,20.25,287.52,0.66,0.88,100.0,0.0,True,True
2030,3,449,15,2,17,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8,393,87.53,38,8.46,24.64,299.59,0.69,0.91,100.0,0.0,True,True
2031,3,547,17,3,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37,480,87.75,53,9.69,27.89,284.02,0.71,0.93,100.0,0.0,True,True
2032,3,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45,560,86.55,52,8.04,32.77,278.36,0.72,0.86,100.0,0.0,True,True
2033,3,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45;77;18;26,643,86.19,58,7.77,35.55,268.61,0.72,0.9,100.0,0.56,True,True
2034,3,840,26,3,29,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45;77;18;26;27;53;17,720,85.71,71,8.45,40.15,273.97,0.73,0.92,100.0,1.09,True,True
2035,3,925,29,2,31,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45;77;18;26;27;53;17;28;12,773,83.57,86,9.3,43.65,281.87,0.73,0.87,100.0,3.76,True,True
2026,5,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,145,91.19,9,5.66,8.18,261.95,0.59,0.74,100.0,0.0,True,True
2027,5,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,195,89.86,19,8.76,12.97,288.59,0.62,0.73,100.0,0.0,True,True
2028,5,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,250,89.29,23,8.21,15.21,284.57,0.65,0.8,100.0,0.0,True,True
2029,5,359,12,3,15,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57,328,91.36,22,6.13,19.89,287.84,0.67,0.83,100.0,0.0,True,True
2030,5,449,15,2,17,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8,395,87.97,41,9.13,24.58,296.92,0.7,0.83,100.0,0.0,True,True
2031,5,547,17,3,20,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37,474,86.65,54,9.87,29.63,299.44,0.71,0.82,100.0,0.0,True,True
2032,5,647,20,3,23,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45,555,85.78,62,9.58,30.75,273.36,0.72,0.83,100.0,0.0,True,True
2033,5,746,23,3,26,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45;77;18;26,642,86.06,72,9.65,35.18,270.86,0.73,0.84,100.0,0.56,True,True
2034,5,840,26,3,29,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45;77;18;26;27;53;17,704,83.81,70,8.33,40.15,278.3,0.72,0.84,100.0,1.09,True,True
2035,5,925,29,2,31,308440;308702;307904;307905;308108;73;60;31;32;86;30;40;33;5;57;34;8;35;64;37;4;9;45;77;18;26;27;53;17;28;12,769,83.14,80,8.65,44.56,286.44,0.73,0.85,100.0,3.76,True,True
2026,2,159,5,3,8,308440;308702;307904;307905;308108;73;60;31,142,89.31,13,8.18,7.13,245.54,0.58,0.71,100.0,0.0,True,True
2027,2,217,8,2,10,308440;308702;307904;307905;308108;73;60;31;32;86,192,88.48,21,9.68,11.86,282.52,0.63,0.77,100.0,0.0,True,True
2028,2,280,10,2,12,308440;308702;307904;307905;308108;73;60;31;32;86;30;40,256,91.43,18,6.43,17.11,306.05,0.67,0.86,100.0,0.0,True,True
