car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,62,,arrived,,arrived,8.312364750867314,,,
Car 0,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),8.312364750867314,,0.0,
Car 1,,,,11,,arrived,,arrived,22.398715883702522,,,
Car 1,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),22.398715883702522,,0.0,
Car 2,,,,37,,arrived,,arrived,27.780441468901287,,,
Car 2,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),27.780441468901287,,0.0,
Car 3,,,,5,,arrived,,arrived,51.99371099918048,,,
Car 3,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),51.99371099918048,,0.0,
Car 4,,,,37,,arrived,,arrived,60.3861032448674,,,
Car 4,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),60.3861032448674,,0.0,
Car 5,,,,73,,arrived,,arrived,64.84887883098006,,,
Car 5,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 13 (fid=5)",69.84887883098006,13,,
Car 5,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),72.31394991725075,,5.0,
Car 2,45.0,73,5,,,done,,done charging,72.78044146890129,,,89.51947773250689
Car 6,,,,71,,arrived,,arrived,90.1669248031325,,,
Car 6,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),90.1669248031325,,0.0,
Car 1,79.0,60,6,,,done,,done charging,101.39871588370252,,,159.7583830982139
Car 0,104.0,60,6,,,done,,done charging,112.31236475086732,,,108.72370347984227
Car 7,,,,29,,arrived,,arrived,113.89787820191628,,,
Car 7,,30,10,,,start_charge,,starting to charge at Charger 10 (fid=30),113.89787820191628,,0.0,
Car 4,55.0,73,5,,,done,,done charging,115.3861032448674,,,89.51947773250689
Car 5,50.0,5,13,,,done,,done charging,122.31394991725075,,,205.3404214863495
Car 8,,,,14,,arrived,,arrived,122.4537459290887,,,
Car 8,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),122.4537459290887,,0.0,
Car 9,,,,5,,arrived,,arrived,142.74117626372615,,,
Car 9,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),142.74117626372615,,0.0,
Car 10,,,,54,,arrived,,arrived,153.25622809069716,,,
Car 3,104.0,5,13,,,done,,done charging,155.99371099918048,,,33.65698085203282
Car 6,66.0,308440,0,,,done,,done charging,156.1669248031325,,,103.02087371671979
Car 10,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),156.1669248031325,,2.910696712435339,
Car 11,,,,7,,arrived,,arrived,156.9990025610171,,,
Car 11,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),156.9990025610171,,0.0,
Car 12,,,,77,,arrived,,arrived,189.42942969579755,,,
Car 12,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),189.42942969579755,,0.0,
Car 13,,,,23,,arrived,,arrived,207.12125522700154,,,
Car 13,,33,12,,,start_charge,,starting to charge at Charger 12 (fid=33),207.12125522700154,,0.0,
Car 7,102.0,30,10,,,done,,done charging,215.89787820191628,,,21.000109280887493
Car 10,61.0,308440,0,,,done,,done charging,217.1669248031325,,,186.2715086920258
Car 9,75.0,308108,4,,,done,,done charging,217.74117626372615,,,216.4729283879323
Car 8,99.0,308440,0,,,done,,done charging,221.4537459290887,,,132.81305867336218
Car 14,,,,67,,arrived,,arrived,222.20882353762482,,,
Car 14,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),222.20882353762482,,0.0,
Car 15,,,,5,,arrived,,arrived,223.50392211493255,,,
Car 15,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),223.50392211493255,,0.0,
Car 16,,,,21,,arrived,,arrived,246.65685167868088,,,
Car 16,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),246.65685167868088,,0.0,
Car 17,,,,31,,arrived,,arrived,254.28073214799196,,,
Car 17,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),254.28073214799196,,0.0,
Car 13,58.0,33,12,,,done,,done charging,265.12125522700154,,,112.13805625738571
Car 18,,,,18,,arrived,,arrived,270.37614310013896,,,
Car 18,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),270.37614310013896,,0.0,
Car 11,120.0,308108,4,,,done,,done charging,276.9990025610171,,,138.47203364136507
Car 12,94.0,60,6,,,done,,done charging,283.4294296957976,,,158.42291775123473
Car 14,71.0,308702,1,,,done,,done charging,293.2088235376248,,,192.27447817342818
Car 19,,,,4,,arrived,,arrived,295.42978718473773,,,
Car 19,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),295.42978718473773,,0.0,
Car 20,,,,5,,arrived,,arrived,306.1001662547687,,,
Car 20,,,,,13,switch,,"Charger 13 (fid=5) not available, trying Charger 5 (fid=73)",311.1001662547687,5,,
Car 20,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),313.5652373410394,,5.0,
Car 21,,,,11,,arrived,,arrived,317.47068473918443,,,
Car 21,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),317.47068473918443,,0.0,
Car 18,50.0,308440,0,,,done,,done charging,320.37614310013896,,,126.94988178563102
Car 15,98.0,5,13,,,done,,done charging,321.50392211493255,,,33.65698085203282
Car 22,,,,44,,arrived,,arrived,323.0198906911589,,,
Car 22,,31,7,,,start_charge,,starting to charge at Charger 7 (fid=31),323.0198906911589,,0.0,
Car 16,79.0,307904,2,,,done,,done charging,325.6568516786809,,,174.17594233762279
Car 23,,,,32,,arrived,,arrived,335.42570742815474,,,
Car 23,,33,12,,,start_charge,,starting to charge at Charger 12 (fid=33),335.42570742815474,,0.0,
Car 19,45.0,5,13,,,done,,done charging,340.42978718473773,,,74.00372403072134
Car 24,,,,10,,arrived,,arrived,340.45416007532225,,,
Car 24,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),340.45416007532225,,0.0,
Car 25,,,,18,,arrived,,arrived,344.76571301546574,,,
