car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 63,,,,73,,arrived,,arrived,11.0,,,
Car 63,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),11.0,,0.0,
Car 207,,,,91,,arrived,,arrived,21.0,,,
Car 207,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),21.0,,0.0,
Car 65,,,,4,,arrived,,arrived,22.0,,,
Car 65,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),22.0,,0.0,
Car 148,,,,60,,arrived,,arrived,26.0,,,
Car 148,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),26.0,,0.0,
Car 176,,,,55,,arrived,,arrived,32.0,,,
Car 176,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),32.0,,0.0,
Car 99,,,,74,,arrived,,arrived,33.0,,,
Car 99,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),33.0,,0.0,
Car 74,,,,31,,arrived,,arrived,56.0,,,
Car 136,,,,37,,arrived,,arrived,56.0,,,
Car 74,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),56.0,,0.0,
Car 136,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),56.0,,0.0,
Car 63,48.0,73,5,,,done,,done charging,59.0,,,0.0
Car 129,,,,54,,arrived,,arrived,60.0,,,
Car 129,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),60.0,,0.0,
Car 58,,,,8,,arrived,,arrived,70.0,,,
Car 58,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),70.0,,0.0,
Car 160,,,,65,,arrived,,arrived,84.0,,,
Car 160,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",89.0,1,,
Car 160,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),91.33625344304474,,5.0,
Car 194,,,,5,,arrived,,arrived,103.0,,,
Car 99,70.0,307904,2,,,done,,done charging,103.0,,,84.63961631527718
Car 65,84.0,60,6,,,done,,done charging,106.0,,,59.80497675779154
Car 162,,,,54,,arrived,,arrived,107.0,,,
Car 194,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",108.0,1,,
Car 176,79.0,308440,0,,,done,,done charging,111.0,,,88.10894552200877
Car 233,,,,46,,arrived,,arrived,112.0,,,
Car 162,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",112.0,0,,
Car 76,,,,40,,arrived,,arrived,113.0,,,
Car 76,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),113.0,,0.0,
Car 162,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),114.22134419256946,,5.0,
Car 194,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",115.33625344304474,7,,
Car 194,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),115.95037471539953,,10.0,
Car 9,,,,57,,arrived,,arrived,117.0,,,
Car 136,61.0,73,5,,,done,,done charging,117.0,,,52.18342097829892
Car 233,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",117.0,7,,
Car 233,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),117.6141212723548,,5.0,
Car 148,93.0,60,6,,,done,,done charging,119.0,,,0.0
Car 105,,,,37,,arrived,,arrived,122.0,,,
Car 9,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",122.0,1,,
Car 105,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),122.0,,0.0,
Car 16,,,,70,,arrived,,arrived,124.0,,,
Car 44,,,,4,,arrived,,arrived,124.0,,,
Car 213,,,,29,,arrived,,arrived,124.0,,,
Car 224,,,,4,,arrived,,arrived,124.0,,,
Car 44,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),124.0,,0.0,
Car 74,70.0,308440,0,,,done,,done charging,126.0,,,65.10485574823473
Car 16,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),126.0,,2.0,
Car 213,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 8 (fid=31)",129.0,8,,
Car 224,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",129.0,1,,
Car 213,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),129.14607854181222,,5.0,
Car 9,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 8 (fid=31)",129.22134419256946,8,,
Car 9,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),129.78550538131702,,10.0,
Car 207,109.0,308108,4,,,done,,done charging,130.0,,,136.51286569406312
Car 224,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",136.33625344304474,7,,
Car 224,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 8 (fid=31)",141.95037471539953,8,,
Car 231,,,,8,,arrived,,arrived,142.0,,,
Car 231,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 6 (fid=60)",147.0,6,,
Car 224,,,,,8,switch,,"Charger 8 (fid=31) not available, trying Charger 6 (fid=60)",147.09645325721175,6,,
Car 71,,,,12,,arrived,,arrived,152.0,,,
Car 71,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),152.0,,0.0,
Car 129,93.0,308702,1,,,done,,done charging,153.0,,,118.85907491646913
Car 231,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 1 (fid=308702)",154.27008140497065,1,,
Car 224,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 0 (fid=308440)",156.47855149802356,0,,
Car 231,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),158.0964198936251,,10.0,
Car 217,,,,37,,arrived,,arrived,161.0,,,
Car 33,,,,83,,arrived,,arrived,163.0,,,
Car 33,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),163.0,,0.0,
Car 224,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",164.73824354530976,3,,
Car 217,,,,,5,switch,,"Charger 5 (fid=73) not available, trying Charger 1 (fid=308702)",166.0,1,,
Car 224,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),167.59709341368196,,30.0,
Car 166,,,,25,,arrived,,arrived,168.0,,,
Car 166,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 3 (fid=307905)",173.0,3,,
Car 217,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 7 (fid=30)",173.33625344304474,7,,
Car 105,54.0,73,5,,,done,,done charging,176.0,,,52.18342097829892
Car 145,,,,77,,arrived,,arrived,177.0,,,
Car 217,,,,,7,switch,,"Charger 7 (fid=30) not available, trying Charger 8 (fid=31)",178.95037471539953,8,,
Car 58,109.0,73,5,,,done,,done charging,179.0,,,46.809697563664486
Car 9,51.0,31,8,,,done,,done charging,180.78550538131702,,,153.86776271202248
Car 217,,31,8,,,start_charge,,starting to charge at Charger 8 (fid=31),180.78550538131702,,16.689052124105274,
