year,average_input_ev_cars,average_existing_chargers_before,average_new_chargers_added,average_minimum_chargers,selected_locations,average_waiting_time,average_served_rate,average_unmet_rate,average_served_demand,average_unmet_demand,average_walking_distance,average_utilization,average_max_utilization,average_walking_coverage_rate_info,average_optimization_unmet_rate_info,simulation_kpis_feasible,optimization_feasible
2026,159.0,5.0,3.2,8.2,308440;308702;307904;307905;308108;5;1;2,8.71,91.82,5.91,146.0,9.4,299.62,0.58,0.72,0.0,0.0,True,True
2027,217.0,8.2,1.9,10.1,308440;308702;307904;307905;308108;5;1;2;91;3,12.56,90.37,7.97,196.1,17.3,318.92,0.61,0.77,0.0,0.0,True,True
2028,280.0,10.1,1.7,11.8,308440;308702;307904;307905;308108;5;1;2;91;3;4;6,16.01,89.82,8.07,251.5,22.6,315.94,0.66,0.81,0.0,0.0,True,True
2029,359.0,11.8,2.6,14.4,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8,19.72,89.78,7.69,322.3,27.6,307.23,0.68,0.83,0.0,0.0,True,True
2030,449.0,14.4,2.6,17.0,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11,23.94,88.53,8.31,397.5,37.3,298.69,0.7,0.84,0.0,0.0,True,True
2031,547.0,17.0,3.0,20.0,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14,28.6,87.4,8.69,478.1,47.5,295.88,0.71,0.84,0.0,0.0,True,True
2032,647.0,20.0,2.8,22.8,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17,32.63,86.01,8.59,556.5,55.6,293.18,0.72,0.87,0.0,0.74,True,True
2033,746.0,22.8,3.2,26.0,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,35.87,86.39,8.32,644.5,62.1,279.27,0.73,0.86,0.0,0.56,True,True
2034,840.0,26.0,2.4,28.4,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,39.74,84.25,8.77,707.7,73.7,281.3,0.73,0.86,0.0,3.21,True,True
2035,925.0,28.4,2.4,30.8,308440;308702;307904;307905;308108;5;1;2;91;3;4;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,42.86,83.78,8.04,775.0,74.4,282.35,0.73,0.88,0.0,4.4,True,True
