car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,37,,arrived,arrived,3.9909057407753945,,,
Car 0,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),3.9909057407753945,,0.0,
Car 1,,,,73,,arrived,arrived,6.189962053842947,,,
Car 1,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),6.189962053842947,,0.0,
Car 2,,,,117,,arrived,arrived,9.298336248144617,,,
Car 2,,117,14,,,start_charge,starting to charge at Charger 14 (fid=117),9.298336248144617,,0.0,
Car 3,,,,15,,arrived,arrived,14.16288538424607,,,
Car 3,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),14.16288538424607,,0.0,
Car 4,,,,4,,arrived,arrived,23.76349455664086,,,
Car 4,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),23.76349455664086,,0.0,
Car 5,,,,29,,arrived,arrived,73.31569054141906,,,
Car 5,,31,27,,,start_charge,starting to charge at Charger 27 (fid=31),73.31569054141906,,0.0,
Car 3,65.0,15,2,,,done,done charging,79.16288538424607,,,0.0
Car 6,,,,67,,arrived,arrived,84.09546086910449,,,
Car 6,,67,12,,,start_charge,starting to charge at Charger 12 (fid=67),84.09546086910449,,0.0,
Car 1,87.0,73,7,,,done,done charging,93.18996205384295,,,0.0
Car 4,72.0,4,24,,,done,done charging,95.76349455664086,,,0.0
Car 2,91.0,117,14,,,done,done charging,100.29833624814462,,,0.0
Car 7,,,,71,,arrived,arrived,105.9097561503263,,,
Car 7,,32,11,,,start_charge,starting to charge at Charger 11 (fid=32),105.9097561503263,,0.0,
Car 8,,,,9,,arrived,arrived,108.02714108974851,,,
Car 8,,10,21,,,start_charge,starting to charge at Charger 21 (fid=10),108.02714108974851,,0.0,
Car 9,,,,77,,arrived,arrived,115.07730258526314,,,
Car 9,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),115.07730258526314,,0.0,
Car 0,120.0,73,7,,,done,done charging,123.99090574077539,,,52.18342097829892
Car 5,51.0,31,27,,,done,done charging,124.31569054141906,,,25.033754213060966
Car 10,,,,51,,arrived,arrived,126.37099754589181,,,
Car 10,,59,6,,,start_charge,starting to charge at Charger 6 (fid=59),126.37099754589181,,0.0,
Car 11,,,,52,,arrived,arrived,130.35987175712214,,,
Car 11,,59,6,,,start_charge,starting to charge at Charger 6 (fid=59),130.35987175712214,,0.0,
Car 12,,,,37,,arrived,arrived,132.86402595473498,,,
Car 12,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),132.86402595473498,,0.0,
Car 6,52.0,67,12,,,done,done charging,136.0954608691045,,,0.0
Car 13,,,,86,,arrived,arrived,136.600958606487,,,
Car 13,,85,19,,,start_charge,starting to charge at Charger 19 (fid=85),136.600958606487,,0.0,
Car 14,,,,16,,arrived,arrived,152.2008004904888,,,
Car 14,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),152.2008004904888,,0.0,
Car 7,78.0,32,11,,,done,done charging,183.9097561503263,,,29.248922048492695
Car 9,70.0,4,24,,,done,done charging,185.07730258526314,,,40.44401316634773
Car 15,,,,21,,arrived,arrived,191.6061370811544,,,
Car 15,,20,20,,,start_charge,starting to charge at Charger 20 (fid=20),191.6061370811544,,0.0,
Car 14,49.0,15,2,,,done,done charging,201.2008004904888,,,45.87318816035984
Car 8,108.0,10,21,,,done,done charging,216.0271410897485,,,53.460384510389034
Car 12,86.0,73,7,,,done,done charging,218.86402595473498,,,52.18342097829892
Car 10,95.0,59,6,,,done,done charging,221.3709975458918,,,102.56611277609268
Car 16,,,,37,,arrived,arrived,228.02687031257796,,,
Car 16,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),228.02687031257796,,0.0,
Car 17,,,,27,,arrived,arrived,228.3991408021394,,,
Car 17,,32,17,,,start_charge,starting to charge at Charger 17 (fid=32),228.3991408021394,,0.0,
Car 18,,,,39,,arrived,arrived,229.73520292670517,,,
Car 18,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),229.73520292670517,,0.0,
Car 13,96.0,85,19,,,done,done charging,232.600958606487,,,5.766894224797834
Car 19,,,,71,,arrived,arrived,235.64853788568362,,,
Car 19,,32,11,,,start_charge,starting to charge at Charger 11 (fid=32),235.64853788568362,,0.0,
Car 11,114.0,59,6,,,done,done charging,244.35987175712214,,,86.97211429534592
Car 20,,,,17,,arrived,arrived,258.59099743797213,,,
Car 20,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),258.59099743797213,,0.0,
Car 21,,,,16,,arrived,arrived,277.6185361447878,,,
Car 21,,15,2,,,start_charge,starting to charge at Charger 2 (fid=15),277.6185361447878,,0.0,
Car 15,90.0,20,20,,,done,done charging,281.60613708115443,,,5.385146701803676
Car 22,,,,20,,arrived,arrived,283.9136825327231,,,
Car 22,,20,20,,,start_charge,starting to charge at Charger 20 (fid=20),283.9136825327231,,0.0,
Car 23,,,,10,,arrived,arrived,291.27890147948085,,,
Car 23,,10,21,,,start_charge,starting to charge at Charger 21 (fid=10),291.27890147948085,,0.0,
Car 24,,,,83,,arrived,arrived,292.80304508167194,,,
Car 24,,83,3,,,start_charge,starting to charge at Charger 3 (fid=83),292.80304508167194,,0.0,
Car 17,69.0,32,17,,,done,done charging,297.3991408021394,,,14.641506821363903
Car 16,75.0,73,7,,,done,done charging,303.02687031257796,,,52.18342097829892
Car 25,,,,27,,arrived,arrived,305.2030951580953,,,
Car 25,,32,17,,,start_charge,starting to charge at Charger 17 (fid=32),305.2030951580953,,0.0,
Car 26,,,,27,,arrived,arrived,305.3607724359234,,,
Car 26,,32,17,,,start_charge,starting to charge at Charger 17 (fid=32),305.3607724359234,,0.0,
Car 27,,,,78,,arrived,arrived,310.66741045444707,,,
Car 27,,10,21,,,start_charge,starting to charge at Charger 21 (fid=10),310.66741045444707,,0.0,
Car 18,89.0,4,24,,,done,done charging,318.73520292670514,,,154.07383975872858
Car 28,,,,14,,arrived,arrived,328.41527325510873,,,
Car 28,,32,11,,,start_charge,starting to charge at Charger 11 (fid=32),328.41527325510873,,0.0,
Car 29,,,,62,,arrived,arrived,330.3572265426249,,,
Car 29,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),330.3572265426249,,0.0,
Car 20,73.0,15,2,,,done,done charging,331.59099743797213,,,21.129393105329726
Car 30,,,,37,,arrived,arrived,332.8583321752232,,,
Car 30,,73,7,,,start_charge,starting to charge at Charger 7 (fid=73),332.8583321752232,,0.0,
Car 31,,,,70,,arrived,arrived,336.3511130231928,,,
Car 31,,20,20,,,start_charge,starting to charge at Charger 20 (fid=20),336.3511130231928,,0.0,
Car 23,48.0,10,21,,,done,done charging,339.27890147948085,,,0.0
Car 32,,,,4,,arrived,arrived,340.3020873909884,,,
Car 32,,4,24,,,start_charge,starting to charge at Charger 24 (fid=4),340.3020873909884,,0.0,
Car 19,113.0,32,11,,,done,done charging,348.6485378856836,,,29.248922048492695
Car 33,,,,19,,arrived,arrived,351.929050211105,,,
Car 34,,,,33,,arrived,arrived,356.0753018339945,,,
