car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,52,,arrived,,arrived,0.027102893104260506,,,
Car 0,,52,8,,,start_charge,,starting to charge at Charger 8 (fid=52),0.027102893104260506,,0.0,
Car 1,,,,54,,arrived,,arrived,15.697288976679475,,,
Car 1,,13,15,,,start_charge,,starting to charge at Charger 15 (fid=13),15.697288976679475,,0.0,
Car 2,,,,17,,arrived,,arrived,16.361885140318243,,,
Car 2,,13,15,,,start_charge,,starting to charge at Charger 15 (fid=13),16.361885140318243,,0.0,
Car 3,,,,45,,arrived,,arrived,22.389622324430494,,,
Car 3,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),22.389622324430494,,0.0,
Car 4,,,,31,,arrived,,arrived,28.2152554238667,,,
Car 4,,32,2,,,start_charge,,starting to charge at Charger 2 (fid=32),28.2152554238667,,0.0,
Car 5,,,,57,,arrived,,arrived,29.10207767585672,,,
Car 5,,70,16,,,start_charge,,starting to charge at Charger 16 (fid=70),29.10207767585672,,0.0,
Car 6,,,,19,,arrived,,arrived,39.769113773026056,,,
Car 6,,20,1,,,start_charge,,starting to charge at Charger 1 (fid=20),39.769113773026056,,0.0,
Car 7,,,,80,,arrived,,arrived,45.58383810587358,,,
Car 7,,27,11,,,start_charge,,starting to charge at Charger 11 (fid=27),45.58383810587358,,0.0,
Car 8,,,,50,,arrived,,arrived,46.208390156279414,,,
Car 8,,39,14,,,start_charge,,starting to charge at Charger 14 (fid=39),46.208390156279414,,0.0,
Car 9,,,,116,,arrived,,arrived,47.60040502569978,,,
Car 9,,26,5,,,start_charge,,starting to charge at Charger 5 (fid=26),47.60040502569978,,0.0,
Car 10,,,,77,,arrived,,arrived,49.31724253918361,,,
Car 10,,77,21,,,start_charge,,starting to charge at Charger 21 (fid=77),49.31724253918361,,0.0,
Car 1,50.0,13,15,,,done,,done charging,65.69728897667947,,,85.61250220033976
Car 11,,,,45,,arrived,,arrived,71.57909254584524,,,
Car 11,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),71.57909254584524,,0.0,
Car 0,72.0,52,8,,,done,,done charging,72.02710289310426,,,0.0
Car 2,56.0,13,15,,,done,,done charging,72.36188514031824,,,63.17084676494397
