car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,116,,arrived,arrived,5.111116083045159,,,
Car 0,,79,0,,,start_charge,starting to charge at Charger 0 (fid=79),5.111116083045159,,0.0,
Car 1,,,,54,,arrived,arrived,7.5798539190515735,,,
Car 1,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),7.5798539190515735,,0.0,
Car 2,,,,64,,arrived,arrived,13.602351562862928,,,
Car 2,,75,28,,,start_charge,starting to charge at Charger 28 (fid=75),13.602351562862928,,0.0,
Car 3,,,,55,,arrived,arrived,42.289015372296475,,,
Car 3,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),42.289015372296475,,0.0,
Car 4,,,,116,,arrived,arrived,57.737702150062965,,,
Car 4,,79,0,,,start_charge,starting to charge at Charger 0 (fid=79),57.737702150062965,,0.0,
Car 1,52.0,57,4,,,done,done charging,59.57985391905157,,,44.57710314722751
Car 5,,,,23,,arrived,arrived,72.56385791333477,,,
Car 5,,43,14,,,start_charge,starting to charge at Charger 14 (fid=43),72.56385791333477,,0.0,
Car 6,,,,79,,arrived,arrived,74.8464590957451,,,
Car 6,,,,,0,switch,"Charger 0 (fid=79) not available, trying Charger 11 (fid=81)",79.8464590957451,11,,
Car 6,,81,11,,,start_charge,starting to charge at Charger 11 (fid=81),80.4307464272026,,5.0,
Car 7,,,,22,,arrived,arrived,87.5480257663438,,,
Car 7,,17,22,,,start_charge,starting to charge at Charger 22 (fid=17),87.5480257663438,,0.0,
Car 8,,,,59,,arrived,arrived,98.51210610432642,,,
Car 8,,75,28,,,start_charge,starting to charge at Charger 28 (fid=75),98.51210610432642,,0.0,
Car 0,114.0,79,0,,,done,done charging,119.11111608304516,,,26.741466246258224
Car 9,,,,62,,arrived,arrived,119.94771234975474,,,
Car 9,,62,26,,,start_charge,starting to charge at Charger 26 (fid=62),119.94771234975474,,0.0,
Car 4,65.0,79,0,,,done,done charging,122.73770215006297,,,26.741466246258224
Car 2,110.0,75,28,,,done,done charging,123.60235156286294,,,108.51930965961243
Car 10,,,,57,,arrived,arrived,125.37393740643537,,,
Car 10,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),125.37393740643537,,0.0,
Car 11,,,,14,,arrived,arrived,131.53385053456094,,,
Car 11,,32,10,,,start_charge,starting to charge at Charger 10 (fid=32),131.53385053456094,,0.0,
Car 3,102.0,57,4,,,done,done charging,144.2890153722965,,,2.8730570826434207
Car 12,,,,37,,arrived,arrived,147.18794586828858,,,
Car 12,,63,19,,,start_charge,starting to charge at Charger 19 (fid=63),147.18794586828858,,0.0,
Car 13,,,,68,,arrived,arrived,149.69896163335068,,,
Car 13,,71,7,,,start_charge,starting to charge at Charger 7 (fid=71),149.69896163335068,,0.0,
Car 7,66.0,17,22,,,done,done charging,153.5480257663438,,,76.76344030853062
Car 14,,,,7,,arrived,arrived,169.8312764179783,,,
Car 14,,7,3,,,start_charge,starting to charge at Charger 3 (fid=7),169.8312764179783,,0.0,
Car 8,82.0,75,28,,,done,done charging,180.51210610432642,,,38.302789715608114
Car 15,,,,57,,arrived,arrived,181.19947837345086,,,
Car 15,,57,4,,,start_charge,starting to charge at Charger 4 (fid=57),181.19947837345086,,0.0,
Car 6,110.0,81,11,,,done,done charging,190.43074642720262,,,48.67113471040948
Car 5,118.0,43,14,,,done,done charging,190.56385791333477,,,53.17523473383591
Car 16,,,,45,,arrived,arrived,194.05097756938233,,,
Car 16,,45,15,,,start_charge,starting to charge at Charger 15 (fid=45),194.05097756938233,,0.0,
Car 17,,,,51,,arrived,arrived,196.00604766019188,,,
Car 17,,50,16,,,start_charge,starting to charge at Charger 16 (fid=50),196.00604766019188,,0.0,
Car 13,52.0,71,7,,,done,done charging,201.69896163335068,,,15.938153719902179
Car 18,,,,65,,arrived,arrived,204.45983177765743,,,
Car 18,,63,19,,,start_charge,starting to charge at Charger 19 (fid=63),204.45983177765743,,0.0,
