scenario,year,seed,distance_mode,num_chargers,total_arrivals,charged,gave_up,pct_gave_up,avg_waiting_time,avg_walk_m,util_mean,util_max,chosen_fids
baseline,,0,network,5,159,106,49,30.81761006289308,7.8633001470194905,355.89486075086324,0.7030555555555555,0.7030555555555555,308440;308702;307904;307905;308108
baseline,,1,network,5,159,104,52,32.70440251572327,8.367543238877257,358.3361920492723,0.7214583333333333,0.7214583333333333,308440;308702;307904;307905;308108
baseline,,2,network,5,159,99,56,35.22012578616352,6.952979728441163,326.27252110376196,0.7163194444444445,0.7163194444444445,308440;308702;307904;307905;308108
baseline,,3,network,5,159,95,59,37.10691823899371,7.515034077996702,332.3936434136296,0.6914583333333333,0.6914583333333333,308440;308702;307904;307905;308108
baseline,,4,network,5,159,100,57,35.84905660377358,8.992088122001665,357.78345717155423,0.7323611111111111,0.7323611111111111,308440;308702;307904;307905;308108
baseline,,5,network,5,159,101,54,33.9622641509434,8.406103950889316,335.56448546340243,0.7253472222222223,0.7253472222222223,308440;308702;307904;307905;308108
baseline,,6,network,5,159,104,52,32.70440251572327,7.528164707495454,341.65297036244715,0.7167361111111111,0.7167361111111111,308440;308702;307904;307905;308108
baseline,,7,network,5,159,105,50,31.446540880503143,8.277501038163061,350.88242693481226,0.6929861111111111,0.6929861111111111,308440;308702;307904;307905;308108
baseline,,8,network,5,159,102,53,33.33333333333333,8.38117464649421,337.1193433758509,0.7320833333333333,0.7320833333333333,308440;308702;307904;307905;308108
baseline,,9,network,5,159,102,53,33.33333333333333,8.304851475039014,350.9375725739982,0.7010416666666667,0.7010416666666667,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,0,network,5,159,106,49,30.81761006289308,7.8633001470194905,355.89486075086324,0.7030555555555555,0.7030555555555555,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,1,network,5,159,104,52,32.70440251572327,8.367543238877257,358.3361920492723,0.7214583333333333,0.7214583333333333,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,2,network,5,159,99,56,35.22012578616352,6.952979728441163,326.27252110376196,0.7163194444444445,0.7163194444444445,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,3,network,5,159,95,59,37.10691823899371,7.515034077996702,332.3936434136296,0.6914583333333333,0.6914583333333333,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,4,network,5,159,100,57,35.84905660377358,8.992088122001665,357.78345717155423,0.7323611111111111,0.7323611111111111,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,5,network,5,159,101,54,33.9622641509434,8.406103950889316,335.56448546340243,0.7253472222222223,0.7253472222222223,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,6,network,5,159,104,52,32.70440251572327,7.528164707495454,341.65297036244715,0.7167361111111111,0.7167361111111111,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,7,network,5,159,105,50,31.446540880503143,8.277501038163061,350.88242693481226,0.6929861111111111,0.6929861111111111,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,8,network,5,159,102,53,33.33333333333333,8.38117464649421,337.1193433758509,0.7320833333333333,0.7320833333333333,308440;308702;307904;307905;308108
ev_adoption_2026_current_chargers,2026,9,network,5,159,102,53,33.33333333333333,8.304851475039014,350.9375725739982,0.7010416666666667,0.7010416666666667,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,0,network,5,280,112,163,58.214285714285715,9.37046810643741,388.6771538454997,0.7939583333333333,0.7939583333333333,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,1,network,5,280,111,161,57.49999999999999,9.542604798888698,364.0218249981773,0.8016666666666667,0.8016666666666667,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,2,network,5,280,115,159,56.785714285714285,9.325455717401471,366.3146813933171,0.7908333333333333,0.7908333333333333,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,3,network,5,280,116,160,57.14285714285714,10.320167804978214,371.83052718994827,0.8106249999999999,0.8106249999999999,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,4,network,5,280,113,159,56.785714285714285,10.497801324405902,397.29889691673105,0.7919444444444445,0.7919444444444445,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,5,network,5,280,114,160,57.14285714285714,10.059630874394394,364.2263634060378,0.7979861111111111,0.7979861111111111,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,6,network,5,280,118,155,55.35714285714286,10.610641308170026,375.7227321599838,0.7999305555555555,0.7999305555555555,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,7,network,5,280,118,158,56.42857142857143,9.360458962461697,370.932739256558,0.8095138888888889,0.8095138888888889,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,8,network,5,280,114,160,57.14285714285714,9.327071290820326,351.0146460190978,0.8432638888888888,0.8432638888888888,308440;308702;307904;307905;308108
ev_adoption_2028_current_chargers,2028,9,network,5,280,117,158,56.42857142857143,9.02578781925027,346.6747233639689,0.8015277777777777,0.8015277777777777,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,0,network,5,449,135,308,68.59688195991092,9.771808833597383,362.37657378045685,0.8909722222222222,0.8909722222222222,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,1,network,5,449,122,318,70.8240534521158,10.677405808266496,374.1786627192609,0.8913194444444444,0.8913194444444444,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,2,network,5,449,126,313,69.71046770601336,10.810052763084652,391.80627750016436,0.8800694444444443,0.8800694444444443,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,3,network,5,449,128,314,69.93318485523386,9.899206321847117,366.6821858256889,0.8872222222222221,0.8872222222222221,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,4,network,5,449,125,318,70.8240534521158,10.349048911758562,375.2230204186886,0.8821527777777778,0.8821527777777778,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,5,network,5,449,124,316,70.37861915367483,9.400260271225017,362.60460278038386,0.8690277777777778,0.8690277777777778,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,6,network,5,449,131,310,69.04231625835189,10.285436254942868,359.8541191427143,0.867361111111111,0.867361111111111,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,7,network,5,449,129,313,69.71046770601336,9.76911448463044,362.437301584774,0.8897222222222222,0.8897222222222222,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,8,network,5,449,125,316,70.37861915367483,11.347015919723228,386.78079149213255,0.8998611111111112,0.8998611111111112,308440;308702;307904;307905;308108
ev_adoption_2030_current_chargers,2030,9,network,5,449,124,316,70.37861915367483,11.278704905282783,372.11335653363454,0.8775000000000001,0.8775000000000001,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,0,network,5,925,131,782,84.54054054054055,12.033000644655381,389.9763787354709,0.9259027777777777,0.9259027777777777,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,1,network,5,925,126,788,85.18918918918918,11.574640803914304,380.05176153463486,0.9315972222222222,0.9315972222222222,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,2,network,5,925,132,782,84.54054054054055,11.776804538713181,360.79567557041185,0.9274305555555555,0.9274305555555555,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,3,network,5,925,130,783,84.64864864864865,11.5402926941008,389.00336958927517,0.8956944444444443,0.8956944444444443,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,4,network,5,925,133,780,84.32432432432432,11.74692380557469,378.5405497439193,0.9370833333333334,0.9370833333333334,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,5,network,5,925,132,787,85.08108108108108,12.343063266988771,399.42982814618136,0.9542361111111111,0.9542361111111111,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,6,network,5,925,132,782,84.54054054054055,12.68361745286362,391.538086528408,0.9415277777777777,0.9415277777777777,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,7,network,5,925,129,786,84.97297297297297,13.096487910113932,407.01716403716034,0.945,0.945,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,8,network,5,925,132,783,84.64864864864865,12.874865068528653,399.4465885376618,0.9304166666666667,0.9304166666666667,308440;308702;307904;307905;308108
ev_adoption_2035_current_chargers,2035,9,network,5,925,126,788,85.18918918918918,11.313833658327658,381.5511771938775,0.9247916666666667,0.9247916666666667,308440;308702;307904;307905;308108
add_chargers_5,,0,network,5,159,106,49,30.81761006289308,7.8633001470194905,355.89486075086324,0.7030555555555555,0.7030555555555555,308440;308702;307904;307905;308108
add_chargers_5,,1,network,5,159,104,52,32.70440251572327,8.367543238877257,358.3361920492723,0.7214583333333333,0.7214583333333333,308440;308702;307904;307905;308108
add_chargers_5,,2,network,5,159,99,56,35.22012578616352,6.952979728441163,326.27252110376196,0.7163194444444445,0.7163194444444445,308440;308702;307904;307905;308108
add_chargers_5,,3,network,5,159,95,59,37.10691823899371,7.515034077996702,332.3936434136296,0.6914583333333333,0.6914583333333333,308440;308702;307904;307905;308108
add_chargers_5,,4,network,5,159,100,57,35.84905660377358,8.992088122001665,357.78345717155423,0.7323611111111111,0.7323611111111111,308440;308702;307904;307905;308108
add_chargers_5,,5,network,5,159,101,54,33.9622641509434,8.406103950889316,335.56448546340243,0.7253472222222223,0.7253472222222223,308440;308702;307904;307905;308108
add_chargers_5,,6,network,5,159,104,52,32.70440251572327,7.528164707495454,341.65297036244715,0.7167361111111111,0.7167361111111111,308440;308702;307904;307905;308108
add_chargers_5,,7,network,5,159,105,50,31.446540880503143,8.277501038163061,350.88242693481226,0.6929861111111111,0.6929861111111111,308440;308702;307904;307905;308108
add_chargers_5,,8,network,5,159,102,53,33.33333333333333,8.38117464649421,337.1193433758509,0.7320833333333333,0.7320833333333333,308440;308702;307904;307905;308108
add_chargers_5,,9,network,5,159,102,53,33.33333333333333,8.304851475039014,350.9375725739982,0.7010416666666667,0.7010416666666667,308440;308702;307904;307905;308108
add_chargers_6,,0,network,6,159,121,35,22.0125786163522,8.964540442538812,351.8976177602487,0.663599537037037,0.663599537037037,308440;308702;307904;307905;308108;23
add_chargers_6,,1,network,6,159,119,37,23.270440251572328,8.49672574183723,348.6296469129139,0.6765625000000001,0.6765625000000001,308440;308702;307904;307905;308108;43
