scenario,year,num_runs,distance_mode,num_chargers,total_arrivals,charged,served_rate,gave_up,pct_gave_up,avg_waiting_time,avg_walk_m,util_mean,util_max
baseline,,10,network,5,159,101.8,64.0251572327044,53.5,33.64779874213836,8.058874113241734,344.68374731995925,0.7132847222222223,0.7132847222222223
ev_adoption_2026_current_chargers,2026,10,network,5,159,101.8,64.0251572327044,53.5,33.64779874213836,8.058874113241734,344.68374731995925,0.7132847222222223,0.7132847222222223
ev_adoption_2028_current_chargers,2028,10,network,5,280,114.8,41.0,159.3,56.89285714285714,9.744008800720842,369.67142885493195,0.804125,0.804125
ev_adoption_2030_current_chargers,2030,10,network,5,449,126.9,28.26280623608018,314.2,69.97772828507794,10.358805447435854,371.4056891777899,0.8835208333333333,0.8835208333333333
ev_adoption_2035_current_chargers,2035,10,network,5,925,130.3,14.086486486486487,784.1,84.76756756756757,12.0983529843781,387.73505796170014,0.9313680555555556,0.9313680555555556
add_chargers_5,,10,network,5,159,101.8,64.0251572327044,53.5,33.64779874213836,8.058874113241734,344.68374731995925,0.7132847222222223,0.7132847222222223
add_chargers_6,,10,network,6,159,119.6,75.22012578616352,35.9,22.57861635220126,8.988620515406721,334.33567003393654,0.6754108796296296,0.6754108796296296
add_chargers_7,,10,network,7,159,135.8,85.40880503144655,19.8,12.452830188679245,9.469800283556388,313.6094404843369,0.637078373015873,0.637078373015873
add_chargers_8,,10,network,8,159,144.7,91.0062893081761,11,6.918238993710692,8.254686809871036,280.1498080521478,0.5843272569444444,0.5843272569444444
add_chargers_9,,10,network,9,159,152,95.59748427672956,3.6,2.264150943396227,7.6876214033141155,253.22222831762937,0.5361072530864197,0.5361072530864197
add_chargers_10,,10,network,10,159,154.9,97.42138364779875,0.9,0.5660377358490567,6.689869550233918,238.27568462627224,0.4838645833333334,0.4838645833333334
add_chargers_11,,10,network,11,159,155.4,97.73584905660377,0.3,0.18867924528301888,6.2116441234721576,228.5693510556108,0.4399431818181818,0.4399431818181818
add_chargers_12,,10,network,12,159,155.7,97.92452830188678,0,0.0,4.971241625523749,204.7669961693001,0.3974508101851852,0.3974508101851852
add_chargers_13,,10,network,13,159,155.8,97.98742138364781,0,0.0,4.603639093496503,199.3310411007115,0.3681383547008547,0.3681383547008547
add_chargers_14,,10,network,14,159,155.8,97.98742138364781,0,0.0,3.5554744195703316,185.1118602097587,0.3384499007936508,0.3384499007936508
add_chargers_15,,10,network,15,159,155.7,97.92452830188678,0,0.0,3.2757746902173985,179.18617387824202,0.31232638888888886,0.31232638888888886
add_chargers_16,,10,network,16,159,155.7,97.92452830188678,0,0.0,2.999582129316312,173.77021808975857,0.29343098958333336,0.29343098958333336
add_chargers_17,,10,network,17,159,155.7,97.92452830188678,0,0.0,2.8870882568267966,165.28149935035853,0.27199142156862743,0.27199142156862743
add_chargers_18,,10,network,18,159,155.8,97.98742138364781,0,0.0,2.858591931436481,162.4826574857008,0.25854552469135805,0.25854552469135805
add_chargers_19,,10,network,19,159,155.8,97.98742138364781,0,0.0,2.430885848187199,153.43167319017502,0.24456505847953214,0.24456505847953214
add_chargers_20,,10,network,20,159,155.8,97.98742138364781,0,0.0,2.4728107473946466,154.26816327357594,0.23177604166666665,0.23177604166666665
add_chargers_21,,10,network,21,159,155.7,97.92452830188678,0,0.0,2.5483250596038842,157.39045896455252,0.22039847883597885,0.22039847883597885
add_chargers_22,,10,network,22,159,155.7,97.92452830188678,0,0.0,2.1522755998290655,141.52741151427128,0.2105034722222222,0.2105034722222222
add_chargers_23,,10,network,23,159,155.7,97.92452830188678,0,0.0,1.8794837691853918,135.19286689182564,0.19907910628019324,0.19907910628019324
add_chargers_24,,10,network,24,159,155.7,97.92452830188678,0,0.0,1.7044330842034996,130.36256861781084,0.1898292824074074,0.1898292824074074
add_chargers_25,,10,network,25,159,155.8,97.98742138364781,0,0.0,1.5756953006759329,128.51667357110114,0.18164583333333334,0.18164583333333334
add_chargers_26,,10,network,26,159,155.8,97.98742138364781,0,0.0,1.442469812492785,125.71349324449746,0.17314903846153845,0.17314903846153845
add_chargers_27,,10,network,27,159,155.7,97.92452830188678,0,0.0,1.5264287346331162,124.02532472106427,0.16962962962962963,0.16962962962962963
add_chargers_28,,10,network,28,159,155.7,97.92452830188678,0,0.0,1.3494191498209207,115.55351424210966,0.16288070436507937,0.16288070436507937
add_chargers_29,,10,network,29,159,155.8,97.98742138364781,0,0.0,1.187407350837494,110.98748626452068,0.155110153256705,0.155110153256705
add_chargers_30,,10,network,30,159,155.8,97.98742138364781,0,0.0,1.197959868041103,110.49914694238306,0.15036689814814813,0.15036689814814813
add_chargers_31,,10,network,31,159,155.7,97.92452830188678,0,0.0,1.2395338772279783,109.94443411332755,0.14683691756272402,0.14683691756272402
add_chargers_32,,10,network,32,159,155.8,97.98742138364781,0,0.0,1.1050630675631445,107.53915542869082,0.14212456597222223,0.14212456597222223
add_chargers_33,,10,network,33,159,155.8,97.98742138364781,0,0.0,1.0099029083787756,107.22361663681856,0.13631734006734006,0.13631734006734006
add_chargers_34,,10,network,34,159,155.7,97.92452830188678,0,0.0,1.0189538439322483,105.47812163287132,0.13284620098039215,0.13284620098039215
add_chargers_35,,10,network,35,159,155.8,97.98742138364781,0,0.0,0.8186497882910366,101.73220342328213,0.12910813492063491,0.12910813492063491
ev_adoption_2026_chargers_5,2026,10,network,5,159,101.8,64.0251572327044,53.5,33.64779874213836,8.058874113241734,344.68374731995925,0.7132847222222223,0.7132847222222223
ev_adoption_2026_chargers_6,2026,10,network,6,159,120.3,75.66037735849056,35.1,22.07547169811321,9.173713511536949,343.02494371238856,0.6782060185185186,0.6782060185185186
ev_adoption_2026_chargers_7,2026,10,network,7,159,135.4,85.15723270440252,20,12.578616352201259,9.51514571536763,328.6851233081687,0.6339880952380953,0.6339880952380953
ev_adoption_2026_chargers_8,2026,10,network,8,159,144.7,91.0062893081761,10.9,6.855345911949685,8.74765089037046,299.1928623037247,0.582578125,0.582578125
ev_adoption_2026_chargers_9,2026,10,network,9,159,150.9,94.90566037735849,4.7,2.955974842767296,7.682513526210794,266.7527244270869,0.5335956790123456,0.5335956790123456
