Buurten;Inwoners|2025
Achtse Barrier-Gunterslaer;3773
Achtse Barrier-Hoeven;3886
Achtse Barrier-Spaaihoef;4524
Barrier;2040
BeA2;23
Beemden;x
Bennekel-Oost;3305
Bennekel-West, Gagelbosch;3374
Bergen;2800
Binnenstad;4003
Blaarthem;2508
Blixembosch-Oost;7682
Blixembosch-West;1996
Bloemenplein;1235
Bokt;127
Bosrijk;725
Burghplan;2976
Castiliëlaan;823
Doornakkers-Oost;2929
Doornakkers-West;3483
Drents Dorp;2663
Driehoeksbos;942
Eckart;4355
Eckartdal;333
Eikenburg;1506
Eindhoven Airport;x
Eliasterrein, Vonderkwartier;3329
Elzent-Noord;1167
Elzent-Zuid;268
Engelsbergen;632
Esp;17
Fellenoord;194
Flight Forum;63
Genderbeemd;3565
Genderdal;2925
Generalenbuurt;5522
Gennep;42
Genneperzijde;1346
Gerardusplein;3368
Gijzenrooi;1706
Gildebuurt;1677
Grasrijk;6111
Hagenkamp;1226
Hanevoet;3669
Heesterakker;2663
Hemelrijken;4102
Herdgang;x
Het Ven;3909
Hondsheuvels;403
Hurk;53
Irisbuurt;2905
Jagershoef;3588
Joriskwartier;1342
Kapelbeemd;107
Karpen;454
Kerkdorp Acht;3512
Kerstroosplein;1881
Koudenhoven;533
Kronehoef;4674
Kruidenbuurt;3355
Lakerlopen;3225
Leenderheide;x
Lievendaal;3174
Limbeek-Noord;2862
Limbeek-Zuid;1583
Looiakkers;685
Luytelaer;1008
Meerbos;47
Meerrijk;1297
Mensfort;3239
Mispelhoef;23
Muschberg, Geestenberg;4009
Nieuwe Erven;1170
Ooievaarsnest;880
Oude Gracht-Oost;1332
Oude Gracht-West;2900
Oude Spoorbaan;2174
Oude Toren;1707
Park Forum;24
Philipsdorp;3667
Poeijers;x
Prinsejagt;4699
Puttense Dreef;1270
Rapelenburg;1256
Rapenland;2376
Riel;114
Rochusbuurt;1839
Roosten;798
Schoot;3584
Schouwbroek;1521
Schrijversbuurt;3519
Schuttersbosch;711
Sintenbuurt;1969
Sportpark Aalsterweg;32
Strijp S;3108
't Hofke;3759
't Hool;2276
Tempel;5151
Tivoli;1545
Tongelresche Akkers;2365
Tuindorp;2876
TU-terrein;2230
Urkhoven;195
Vaartbroek;5397
Villapark;2477
Vlokhoven;3641
Vredeoord;452
Waterrijk;2532
Wielewaal;108
Winkelcentrum;680
Witte Dame;2251
Woenselse Heide;5255
Woenselse Watermolen;1653
Woensel-West;5895
Zandrijk;2808
Zwaanstraat;1351
