year,total_passenger_cars,exponential_percentage,logistic_percentage,combined_percentage,exponential_ev_cars_each_year,logistic_ev_cars_each_year,combined_ev_cars_each_year
2026,1142,13.92,11.92,13.92,159,136,159
2027,1165,18.63,13.68,18.63,217,159,217
2028,1189,24.94,15.12,23.59,296,180,280
2029,1212,33.37,16.23,29.64,405,197,359
2030,1237,44.67,17.04,36.32,552,211,449
2031,1261,59.79,17.61,43.33,754,222,547
2032,1287,60.0,18.0,50.3,772,232,647
2033,1312,,18.26,56.86,,240,746
2034,1339,,18.44,62.73,,247,840
2035,1365,,18.55,67.74,,253,925
