buurtcode,buurtnaam,wijknaam,postcode4,pc6_count,max_afname_code,avg_afname_code,share_afname_code_gt0,max_opwek_code,avg_opwek_code,voedingsgebied_id,main_feeding_area,other_feeding_areas,voedingsgebied_naam,tennet_station,grid_operator,available_afname_mw,needed_afname_mw,remaining_afname_mw,utilization_afname_percent,queue_afname_mw,requests_afname,resolved_year_afname,risk_class,projects
BU07721110,Binnenstad,WK077211,5611,311,3.0,1.03,41.48,0.0,0.0,EHVO,EHVO,EHVN (82); EHVW (63),EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",medium,EHVO_2030 (2030)
BU07721120,Bergen,WK077211,5611,311,3.0,1.03,41.48,0.0,0.0,EHVO,EHVO,EHVN (82); EHVW (63),EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",medium,EHVO_2030 (2030)
BU07721130,Witte Dame,WK077211,5611,311,3.0,1.03,41.48,0.0,0.0,EHVO,EHVO,EHVN (82); EHVW (63),EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",medium,EHVO_2030 (2030)
BU07721140,Fellenoord,WK077211,5612,243,2.0,1.42,71.19,0.0,0.0,EHVN,EHVN,EHVO (70),EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,138.0,,medium,EHVN_2027 (2027)
BU07721150,TU-terrein,WK077211,5612,243,2.0,1.42,71.19,0.0,0.0,EHVN,EHVN,EHVO (70),EHVN Eindhoven Noord,Station Eindhoven Noord 150 kV,Enexis,111.14,102.32,8.82,92.06,83.534,138.0,,medium,EHVN_2027 (2027)
BU07722110,Irisbuurt,WK077221,5611,311,3.0,1.03,41.48,0.0,0.0,EHVO,EHVO,EHVN (82); EHVW (63),EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",medium,EHVO_2030 (2030)
BU07722120,Rochusbuurt,WK077221,5611,311,3.0,1.03,41.48,0.0,0.0,EHVO,EHVO,EHVN (82); EHVW (63),EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",medium,EHVO_2030 (2030)
BU07722130,Elzent-Noord,WK077221,5611,311,3.0,1.03,41.48,0.0,0.0,EHVO,EHVO,EHVN (82); EHVW (63),EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",medium,EHVO_2030 (2030)
BU07722140,Tuindorp,WK077221,5614,87,0.0,0.0,0.0,0.0,0.0,EHVO,EHVO,,EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",congested grid area,EHVO_2030 (2030)
BU07722150,Joriskwartier,WK077221,5614,87,0.0,0.0,0.0,0.0,0.0,EHVO,EHVO,,EHVO Eindhoven Oost,Station Eindhoven Oost 150 kV,Enexis,207.33,153.81,53.52,74.18,49.215,120.0,"2030,0",congested grid area,EHVO_2030 (2030)
