zone_id,peak_demand_MW,avg_demand_MW,assumed_congestion_class,headroom_factor,estimated_capacity_MW,usable_capacity_MW,remaining_MW_at_peak,remaining_MW_at_avg,extra_ports_at_peak,extra_ports_at_avg
Z4,2862.996667,2433.383333315476,0,1.3,3721.8956671,3163.611317035,300.61465003500007,730.2279837195238,39040,94834
Z8,2764.965558,2350.062500035714,0,1.3,3594.4552254,3055.28694159,290.3213835900001,705.2244415542859,37704,91587
Z2,2755.151172,2341.720833363095,0,1.3,3581.6965236,3044.44204506,289.2908730600002,702.7212116969049,37570,91262
Z10,2681.631516,2279.2333333392858,0,1.3,3486.1209708,2963.20282518,281.5713091800003,683.9694918407145,36567,88827
Z6,2529.68011,2150.083333327381,0,1.3,3288.584143,2795.29652155,265.61641155000007,645.213188222619,34495,83793
Z7,2416.912714,2054.237499970238,0,1.3,3141.9865282,2670.68854897,253.77583496999978,616.451048999762,32957,80058
Z5,2269.843989,1929.237499982143,0,1.3,2950.7971857,2508.1776078450002,238.33361884500027,578.9401078628573,30952,75187
Z3,2240.425342,1904.2333333452382,0,1.3,2912.5529446,2475.6700029099998,235.24466090999977,571.4366695647616,30551,74212
Z9,2171.758955,1845.8708333392856,0,1.3,2823.2866415,2399.793645275,228.03469027500023,553.9228119357144,29614,71938
Z1,2142.379526,1820.9,0,1.3,2785.0933838000005,2367.3293762300004,224.94985023000027,546.4293762300003,29214,70964
