X,Y,full_id,traffic_weight
5.4586876,51.4463927,n2754997997,2
5.4580683,51.4468329,n2754998001,2
5.4551362,51.4475327,n2754999335,2
5.4567839,51.4483071,n3651552408,2
5.4550653,51.4480973,n7188370510,2
5.4581828,51.4470903,n9139972811,2
5.4590085,51.4467074,n11737377204,2
5.4585711,51.4478977,n13354958790,2
5.4572293,51.4481841,n2754996959,2
5.4565201,51.4484937,n2754996975,2
5.4566691,51.4470261,n2754998842,2
5.4548606,51.4479025,n2754999090,2
5.4593655,51.4471834,n4635876270,2
5.4602202,51.4458144,n5827867080,2
5.4600838,51.4466575,n6208179870,2
5.4559011,51.4465941,n8694860497,2
5.4585455,51.4479914,n8694865198,2
5.4584724,51.4450848,n8912915310,2
5.4547639,51.4457826,n8944180311,2
5.4587086,51.4484708,n10139480327,2
5.4539854,51.4479674,n12702402066,2
5.4539216,51.447989,n12702442448,2
5.4538543,51.4480133,n12702442449,2
5.4538024,51.4480321,n12702442450,2
5.4535762,51.4481067,n12702442451,2
5.4595922,51.4470297,n13113116966,2
5.4556062,51.4462408,n9502603382,5
5.4554569,51.4460634,n9502603387,5
5.4553915,51.447425,n12754074792,5
5.4556093,51.4476751,n12754074793,5
5.4557018,51.4473208,n12754074794,5
5.4559165,51.4475719,n12754074795,5
5.4553864,51.4477499,n12754117204,5
5.4590157,51.4462514,n2754997992,4
5.4578927,51.4466556,n2754998193,4
5.4575822,51.4488528,n2754998226,4
5.4592273,51.4463754,n2754998387,4
5.4582315,51.4466512,n2754998641,4
5.4549891,51.4476523,n2754999366,4
5.4579988,51.4485488,n4715681057,4
5.460066,51.4452999,n4760027036,4
5.4599563,51.4447301,n5491495132,4
5.455582,51.4466183,n8694860451,4
5.4586113,51.4479579,n8694865184,4
5.4621248,51.4455271,n8694872292,4
5.4589708,51.4455587,n10976730769,4
5.4602601,51.445244,n11391980129,4
5.4587151,51.4480062,n12874116020,4
5.4622726,51.4455842,n12893334409,4
5.4588144,51.4480555,n12994454029,4
5.4591007,51.4468124,n13573908718,4
5.4541848,51.448072,n4750243373,1
