car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 34,,,,66,,arrived,,arrived,1.0,,
Car 34,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),1.0,,
Car 1,,,,25,,arrived,,arrived,3.0,,
Car 1,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),3.0,,
Car 0,,,,52,,arrived,,arrived,8.0,,
Car 0,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),8.0,,
Car 34,8.0,308108,4,,,done,,done charging,9.0,,525.1778306652914
Car 22,,,,17,,arrived,,arrived,20.0,,
Car 36,,,,32,,arrived,,arrived,20.0,,
Car 22,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",21.0,3,
Car 36,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",21.0,2,
Car 22,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),21.2690671964336,,
Car 1,19.0,308440,0,,,done,,done charging,22.0,,113.37077251534929
Car 25,,,,53,,arrived,,arrived,24.0,,
Car 25,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),24.0,,
Car 36,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",26.338985637209603,3,
Car 0,19.0,307904,2,,,done,,done charging,27.0,,142.08798405163233
Car 36,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 1 (fid=308702)",27.608052833643203,1,
Car 24,,,,116,,arrived,,arrived,28.0,,
Car 24,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),28.0,,
Car 24,5.0,308440,0,,,done,,done charging,33.0,,174.61136401306103
Car 36,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),34.118232072956125,,
Car 6,,,,74,,arrived,,arrived,35.0,,
Car 6,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),35.0,,
Car 3,,,,5,,arrived,,arrived,41.0,,
Car 3,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",42.0,2,
Car 36,8.0,308702,1,,,done,,done charging,42.118232072956125,,347.636422855767
Car 29,,,,26,,arrived,,arrived,45.0,,
Car 29,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),45.0,,
Car 3,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",46.50692174590242,3,
Car 3,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",47.775988942336014,0,
Car 26,,,,34,,arrived,,arrived,48.0,,
Car 13,,,,33,,arrived,,arrived,49.0,,
Car 25,25.0,308108,4,,,done,,done charging,49.0,,274.4417487866864
Car 26,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",49.0,0,
Car 13,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",50.0,0,
Car 22,30.0,307905,3,,,done,,done charging,51.269067196433596,,197.29738047559604
Car 26,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),52.113572780391976,,
Car 3,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",53.130804003301215,1,
Car 13,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",54.113572780391976,2,
Car 3,,,,,,gave_up,1,"no alternate charger available, gave up",57.24437678369319,,
